Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
magnitude,0.0.19,2018-02-25,0,1,1,0,0,0,0,1,0,1
magnitude,0.0.20,2018-02-25,0,1,1,0,0,0,0,1,0,1
magnitude,0.0.21,2018-02-25,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.0,2018-02-26,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.1,2018-02-27,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.2,2018-02-27,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.3,2018-02-28,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.4,2018-03-02,0,1,1,0,0,0,1,1,0,1
magnitude,0.1.5,2018-03-03,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.6,2018-03-03,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.7,2018-03-04,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.8,2018-03-05,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.9,2018-03-10,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.12,2018-03-11,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.13,2018-03-12,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.14,2018-03-12,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.15,2018-03-25,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.16,2018-03-29,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.17,2018-03-29,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.18,2018-05-21,0,1,1,0,0,0,1,1,0,1
magnitude,0.1.19,2018-05-22,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.20,2018-05-29,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.21,2018-05-29,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.22,2018-05-30,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.23,2018-06-06,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.24,2018-06-09,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.25,2018-06-09,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.26,2018-06-09,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.27,2018-06-09,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.28,2018-06-09,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.29,2018-06-10,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.30,2018-06-10,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.31,2018-06-11,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.32,2018-06-11,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.33,2018-06-12,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.34,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.35,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.36,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.37,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.38,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.39,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.40,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.41,2018-06-13,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.42,2018-06-14,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.43,2018-06-14,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.44,2018-06-14,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.45,2018-06-14,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.46,2018-06-21,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.47,2018-07-23,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.48,2018-08-20,0,1,1,0,0,0,1,1,0,1
magnitude,0.1.49,2018-09-12,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.50,2018-09-14,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.51,2018-09-21,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.52,2018-09-25,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.55,2018-10-09,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.56,2018-10-16,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.57,2018-10-20,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.58,2018-10-20,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.59,2018-10-20,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.60,2018-10-20,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.62,2018-10-23,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.63,2018-10-23,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.64,2018-10-24,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.65,2018-10-24,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.66,2018-10-24,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.67,2018-10-24,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.68,2018-10-24,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.69,2018-10-31,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.70,2018-11-02,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.71,2018-11-02,0,1,1,0,0,0,0,1,0,1
magnitude,0.1.72,2018-11-02,0,1,1,0,0,0,0,1,0,1
