Release,Published_at
v1.3.2,2022-11-16T21:24:36Z
v1.3.1,2022-07-23T01:11:07Z
v1.3.0,2022-01-31T17:49:32Z
v1.2.9,2021-09-10T04:22:18Z
v1.2.8,2021-03-20T01:11:24Z
v1.2.7,2021-03-18T17:47:52Z
v1.2.6,2021-01-30T00:58:53Z
v1.2.5,2020-12-10T19:21:54Z
v1.2.4,2020-12-09T05:40:03Z
v1.2.3,2020-10-07T17:29:12Z
v1.2.2,2020-10-02T19:37:30Z
v1.2.1,2020-09-28T22:41:24Z
v1.2.0,2020-09-07T17:09:54Z
v1.1.9,2020-08-26T15:43:29Z
v1.1.8,2020-06-03T00:59:31Z
v1.1.7,2020-05-27T23:57:10Z
v1.1.6,2020-05-26T21:44:59Z
v1.1.5,2020-05-15T23:35:54Z
v1.1.4,2020-04-15T01:45:05Z
v1.1.3,2020-04-14T01:49:06Z
v1.1.2,2020-04-14T00:24:23Z
v1.1.1,2020-02-14T19:42:10Z
v1.1.0,2019-12-18T07:08:09Z
v1.0.3,2019-12-18T06:48:31Z
v1.0.1,2019-10-06T22:35:00Z
v1.0.0,2019-10-04T17:22:14Z
v0.3.5,2019-07-30T12:34:10Z
v0.3.3,2019-05-21T00:10:07Z
v0.3.2,2019-05-15T22:09:13Z
v0.3.1,2019-05-07T13:41:40Z
v0.3.0,2019-05-06T22:24:15Z
v0.2.2,2019-05-01T23:41:32Z
v0.2.0,2019-04-08T22:00:22Z
v0.1.0,2019-04-08T16:35:25Z
