Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
megnet,v0.1.0,2019-04-08,0,1,1,0,0,0,1,1,0,1
megnet,v0.2.0,2019-04-08,0,1,1,0,0,0,1,1,0,1
megnet,v0.2.2,2019-05-01,0,1,1,0,0,0,1,1,0,1
megnet,v0.3.0,2019-05-06,0,1,1,0,0,0,1,1,0,1
megnet,v0.3.1,2019-05-07,0,1,1,0,0,0,1,1,0,1
megnet,v0.3.2,2019-05-15,0,1,1,0,0,0,1,1,0,1
megnet,v0.3.3,2019-05-21,0,1,1,0,0,0,1,1,0,1
megnet,v0.3.5,2019-07-30,0,1,1,0,0,0,1,1,0,1
megnet,v1.0.0,2019-10-04,0,1,1,0,0,0,1,1,0,1
megnet,v1.0.1,2019-10-06,0,1,1,0,0,0,1,1,0,1
megnet,v1.0.3,2019-12-18,0,1,1,0,0,0,1,1,0,1
megnet,v1.1.0,2019-12-18,0,1,1,0,0,0,1,1,0,1
megnet,v1.1.1,2020-02-14,0,1,1,0,0,0,1,1,0,1
megnet,v1.1.2,2020-04-14,0,1,1,0,0,0,0,1,0,1
megnet,v1.1.3,2020-04-14,0,1,1,0,0,0,0,1,0,1
megnet,v1.1.4,2020-04-15,0,1,1,0,0,0,1,1,0,1
megnet,v1.1.5,2020-05-15,0,1,1,0,0,0,1,1,0,1
megnet,v1.1.6,2020-05-26,0,1,1,0,0,0,0,1,0,1
megnet,v1.1.7,2020-05-27,0,1,1,0,0,0,1,1,0,1
megnet,v1.1.8,2020-06-03,0,1,1,0,0,0,1,1,1,1
megnet,v1.1.9,2020-08-26,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.0,2020-09-07,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.1,2020-09-28,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.2,2020-10-02,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.3,2020-10-07,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.4,2020-12-09,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.5,2020-12-10,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.6,2021-01-30,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.7,2021-03-18,0,1,1,0,0,0,1,1,0,1
megnet,v1.2.8,2021-03-20,0,1,1,1,0,0,1,1,0,1
megnet,v1.2.9,2021-09-10,0,1,1,0,0,0,1,1,0,1
megnet,v1.3.0,2022-01-31,1,1,1,1,0,0,1,1,0,1
megnet,v1.3.1,2022-07-23,0,1,1,0,0,0,1,1,0,1
