Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ml5-library,v0.0.8,2018-07-07,1,1,1,1,0,1,1,1,0,1
ml5-library,v0.1.1,2019-02-01,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.2.1,2019-02-01,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.0.5,2019-02-01,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.2.2,2019-03-22,0,1,1,0,0,0,1,1,0,1
ml5-library,V0.2.3,2019-03-29,1,0,1,1,0,0,1,1,0,1
ml5-library,v0.3.0,2019-05-24,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.3.1,2019-06-02,0,0,1,1,0,0,0,1,1,1
ml5-library,v0.4.0,2019-10-17,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.4.1,2019-10-24,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.4.2,2019-11-06,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.4.3,2019-11-14,1,1,1,1,0,0,1,1,0,1
ml5-library,v0.5.0,2020-03-12,0,0,1,1,1,0,0,0,1,1
ml5-library,v0.6.0,2020-11-05,0,1,1,1,0,0,1,1,0,1
ml5-library,v0.6.1,2021-03-05,1,1,1,1,0,0,1,1,0,1
ml5-library,v0.7.2,2022-01-19,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.0,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.1,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.6,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.7,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.9,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.10,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.11,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.12,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.13,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.14,2022-01-21,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.15,2022-01-22,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.8.16,2022-01-22,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.9.0,2022-01-28,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.9.1,2022-01-28,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.9.2,2022-01-28,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.9.3,2022-01-28,0,1,1,0,0,0,1,1,0,1
ml5-library,v0.9.4,2022-02-03,0,1,1,0,0,0,1,1,0,1
ml5-library,0.9.5,2022-02-03,0,1,1,0,0,0,1,1,0,1
ml5-library,0.9.6,2022-02-03,0,1,1,0,0,0,1,1,0,1
ml5-library,0.9.7,2022-02-03,0,1,1,0,0,0,1,1,0,1
ml5-library,0.9.8,2022-02-03,0,1,1,0,0,0,1,1,0,1
ml5-library,0.9.9,2022-02-05,0,1,1,0,0,0,1,1,0,1
ml5-library,0.10.0,2022-02-08,0,1,1,0,0,0,1,1,0,1
ml5-library,0.10.1,2022-02-08,0,1,1,0,0,0,1,1,0,1
ml5-library,0.10.2,2022-02-23,0,1,1,0,0,0,1,1,0,1
ml5-library,0.10.3,2022-02-23,0,1,1,0,0,0,1,1,0,1
ml5-library,0.10.4,2022-03-07,0,1,1,0,0,0,1,1,0,1
ml5-library,0.10.5,2022-03-15,0,1,1,0,0,0,1,1,0,1
ml5-library,0.10.6,2022-04-02,0,1,1,0,0,0,1,1,0,1
ml5-library,0.11.0,2022-04-05,0,1,1,0,0,0,1,1,0,1
ml5-library,0.11.1,2022-04-05,0,1,1,0,0,0,1,1,0,1
ml5-library,0.12.0,2022-04-06,0,1,1,0,0,0,1,1,0,1
ml5-library,0.12.1,2022-04-13,0,1,1,0,0,0,1,1,0,1
