Release,Published_at
v2.19.1,2022-09-30T09:24:08Z
v2.19.0,2021-02-23T08:13:15Z
v2.18.0,2020-10-06T12:57:58Z
v2.17.1,2020-03-24T11:00:50Z
v2.17.0,2020-01-10T22:22:10Z
v2.16.0,2019-11-26T22:22:05Z
v2.15.0,2019-08-07T10:15:30Z
v2.14.0,2019-04-26T22:14:04Z
v2.13,2018-09-09T14:46:06Z
v2.12,2018-06-23T16:00:43Z
v2.11,2018-06-23T16:00:33Z
v2.10,2018-06-23T16:00:19Z
v2.9,2018-06-23T16:00:05Z
v2.8,2018-06-23T15:59:50Z
v2.7,2018-06-23T15:59:36Z
v2.6,2018-06-23T15:59:22Z
v2.5,2018-06-23T15:59:08Z
v2.4,2018-06-23T15:58:54Z
v2.3,2018-06-23T15:58:37Z
v2.2,2018-06-23T15:57:17Z
