Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
mlr,v2.2,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.3,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.4,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.5,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.6,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.7,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.8,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.9,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.10,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.11,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.12,2018-06-23,1,1,1,0,0,0,1,1,0,1
mlr,v2.13,2018-09-09,0,0,1,1,0,0,0,0,1,1
mlr,v2.14.0,2019-04-26,1,0,1,0,0,0,1,0,0,1
mlr,v2.15.0,2019-08-07,0,1,1,0,0,0,1,1,0,1
mlr,v2.16.0,2019-11-26,0,1,1,0,0,0,1,1,0,1
mlr,v2.17.0,2020-01-10,0,1,1,0,0,0,1,1,0,1
mlr,v2.17.1,2020-03-24,0,1,1,1,0,0,1,1,0,1
mlr,v2.18.0,2020-10-06,0,1,1,0,0,0,1,1,0,1
mlr,v2.19.0,2021-02-23,1,0,1,1,0,0,1,1,0,1
