Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
mlxtend,v0.2.9,2015-01-16,0,0,1,1,0,0,0,1,1,1
mlxtend,v0.3.0,2016-02-01,0,1,1,0,0,0,1,1,1,1
mlxtend,0.4.1,2016-05-02,1,1,1,1,0,0,1,1,0,1
mlxtend,v0.4.2,2016-08-25,0,1,1,0,0,0,1,1,0,1
mlxtend,v0.5.0,2016-11-11,1,1,1,1,0,0,1,1,0,1
mlxtend,v0.5.1,2017-02-14,0,1,1,0,0,0,1,1,0,1
mlxtend,v0.6.0,2017-03-18,0,1,1,1,0,0,1,1,0,1
mlxtend,v0.7.0,2017-06-23,1,1,1,1,0,0,1,1,0,1
mlxtend,v0.8.0,2017-09-09,0,1,1,0,0,0,1,1,0,1
mlxtend,v0.9.0,2017-10-22,0,1,1,0,0,0,1,1,0,1
mlxtend,v.0.9.1,2017-11-19,0,1,1,0,0,0,1,1,0,1
mlxtend,v0.10.0,2017-12-22,1,0,1,1,0,0,1,1,0,1
mlxtend,v0.11.0,2018-03-15,0,1,1,0,0,0,1,1,0,1
mlxtend,v0.12.0,2018-04-21,1,1,1,1,0,0,1,1,0,1
mlxtend,0.13.0,2018-07-21,0,1,1,1,0,0,1,1,0,1
mlxtend,v0.14.0,2018-11-10,0,1,1,0,0,0,1,1,0,1
mlxtend,v0.15.0,2019-01-19,1,1,1,1,0,0,1,1,0,1
mlxtend,v0.16.0,2019-05-12,0,1,1,1,0,0,1,1,0,1
mlxtend,v0.17.0,2019-07-19,1,1,1,1,0,1,1,1,0,1
mlxtend,v0.17.1,2020-01-29,0,1,1,0,0,0,0,1,0,1
mlxtend,v0.17.2,2020-02-24,1,1,1,0,0,1,1,1,0,1
mlxtend,0.17.3,2020-07-28,1,1,1,1,0,0,1,1,0,1
mlxtend,0.18.0,2020-11-26,1,1,1,1,0,1,1,1,0,1
mlxtend,v0.19.0,2021-09-02,1,0,1,1,0,1,0,1,0,1
mlxtend,v0.20.0,2022-05-27,0,1,1,0,0,0,1,1,1,1
mlxtend,v0.21.0,2022-09-17,1,1,1,1,0,0,1,1,0,1
mlxtend,v0.22.0,2023-04-02,0,1,1,1,0,1,1,1,0,1
mlxtend,v0.23.0,2023-09-23,1,1,1,0,0,1,0,1,0,1
mlxtend,v0.23.1,2024-01-05,0,1,1,0,1,1,0,1,0,1
mlxtend,v0.23.2,2024-11-05,0,1,1,0,0,0,1,1,0,1
mlxtend,v0.23.3,2024-11-15,1,1,1,0,0,1,1,1,0,1
