Release,Published_at
v1.0.10,2025-02-24T18:09:17Z
v1.0.10-spark3.5,2025-02-24T04:08:52Z
v1.0.9,2025-01-09T23:46:37Z
v1.0.9-spark3.5,2025-01-10T00:01:58Z
v1.0.9-spark3.3,2025-01-10T00:01:38Z
v1.0.8-spark3.5,2024-10-16T04:18:38Z
v1.0.8-spark3.3,2024-10-16T04:18:07Z
v1.0.7,2024-10-11T00:19:38Z
v1.0.7-spark3.5,2024-10-11T04:28:38Z
v1.0.7-spark3.3,2024-10-11T04:29:03Z
v1.0.6,2024-10-10T23:24:46Z
v1.0.5,2024-08-30T02:16:51Z
v1.0.5-spark3.5,2024-08-30T02:17:37Z
v1.0.5-spark3.3,2024-08-30T02:19:46Z
v1.0.4-spark3.5,2024-04-10T19:16:17Z
v1.0.4-spark3.3,2024-04-10T19:15:04Z
v1.0.4,2024-04-10T19:14:02Z
v1.0.3,2024-03-22T21:27:02Z
v1.0.3-spark3.5,2024-03-22T21:37:07Z
v1.0.3-spark3.3,2024-03-22T21:40:09Z
v1.0.2-spark3.3,2023-12-05T16:49:45Z
v1.0.2,2023-11-27T21:27:39Z
v1.0.1,2023-11-02T01:41:54Z
v1.0.0,2023-11-01T17:35:58Z
v0.11.4,2023-10-26T18:17:38Z
v0.11.4-spark3.4,2023-10-26T18:28:29Z
v0.11.4-spark3.3,2023-10-26T18:27:56Z
v0.11.3-spark3.4,2023-09-27T02:22:46Z
v0.11.3-spark3.3,2023-09-27T02:22:13Z
v0.11.3,2023-09-27T02:20:17Z
v0.11.2-spark3.4,2023-09-01T18:59:08Z
v0.11.2,2023-07-10T22:45:30Z
v0.11.2-spark3.3,2023-07-10T23:15:39Z
v0.11.1-spark3.3,2023-05-04T20:02:39Z
v0.11.1,2023-04-24T23:13:08Z
v0.11.0,2023-03-05T13:37:53Z
v0.10.2,2022-11-22T14:30:21Z
v0.10.1,2022-08-23T03:41:02Z
v0.10.0,2022-07-18T02:50:31Z
v0.9.5,2022-01-12T22:42:34Z
v0.9.4,2021-11-16T05:19:37Z
v0.9.2,2021-11-03T03:11:55Z
v0.9.1,2021-10-15T20:14:59Z
v0.9.0,2021-10-15T05:01:09Z
mmlspark-v1.0.0-rc4,2022-07-18T02:16:01Z
mmlspark-v1.0.0-rc3,2022-07-18T02:16:21Z
mmlspark-v1.0.0-rc2,2022-07-18T02:16:31Z
mmlspark-v1.0.0-rc1,2022-07-18T02:16:43Z
mmlspark-v0.18.1,2022-07-18T02:16:53Z
mmlspark-v0.18.0,2022-07-18T02:17:02Z
mmlspark-v0.17,2022-07-18T02:17:11Z
mmlspark-v0.16,2022-07-18T02:17:20Z
mmlspark-v0.15,2022-07-18T02:17:29Z
mmlspark-v0.14,2022-07-18T02:17:43Z
mmlspark-v0.13,2022-07-18T02:17:52Z
mmlspark-v0.11,2022-07-18T02:18:01Z
mmlspark-v0.10,2022-07-18T02:18:11Z
mmlspark-v0.9,2022-07-18T02:18:23Z
mmlspark-v0.8,2022-07-18T02:18:34Z
mmlspark-v0.7,2022-07-18T02:18:45Z
mmlspark-v0.6,2022-07-18T02:03:54Z
mmlspark-v0.5,2022-07-18T02:03:17Z
