Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
mne-cpp,v0.1.0,2020-05-04,0,1,1,0,0,0,1,1,1,1
mne-cpp,v0.1.1,2020-05-14,0,1,1,0,0,0,1,1,0,1
mne-cpp,v0.1.2,2020-05-21,0,1,1,0,0,0,1,1,0,1
mne-cpp,v0.1.3,2020-06-05,0,1,1,0,0,0,1,1,1,1
mne-cpp,v0.1.4,2020-07-07,0,1,1,0,0,0,1,1,0,1
mne-cpp,v0.1.5,2020-07-30,0,1,1,0,0,0,1,1,1,1
mne-cpp,v0.1.6,2020-08-21,0,1,1,0,0,0,1,1,1,1
mne-cpp,v0.1.7,2020-10-26,0,1,1,0,0,0,1,1,0,1
mne-cpp,v0.1.8,2020-11-19,0,1,1,0,0,0,1,1,1,1
mne-cpp,v0.1.9,2021-03-02,0,0,1,1,0,0,0,0,1,1
