Release,Published_at
v1.9.0,2024-12-18T21:22:26Z
v1.8.0,2024-08-19T02:12:47Z
v1.7.1,2024-06-14T22:41:47Z
v1.7.0,2024-04-19T18:02:55Z
v1.6.1,2024-01-16T18:37:42Z
v1.6.0,2023-11-20T20:23:33Z
v1.5.1,2023-09-06T17:49:45Z
v1.5.0,2023-08-15T17:51:10Z
v1.4.2,2023-06-06T14:43:08Z
v1.4.1,2023-06-05T16:27:52Z
v1.4.0,2023-05-10T15:02:48Z
v1.3.1,2023-02-23T20:18:44Z
v1.3.0,2022-12-22T16:20:38Z
v1.2.3,2022-12-02T21:34:21Z
v1.2.2,2022-11-11T17:04:40Z
v1.2.1,2022-10-19T22:31:10Z
v1.2.0,2022-10-11T19:32:02Z
v1.1.1,2022-08-24T15:27:56Z
v1.1.0,2022-08-03T15:58:33Z
v1.0.3,2022-05-12T13:39:57Z
v1.0.2,2022-04-15T15:00:16Z
v1.0.0,2022-03-21T14:31:33Z
v0.24.1,2021-12-01T22:25:51Z
v0.24.0,2021-11-03T15:12:33Z
v0.23.4,2021-09-10T16:09:34Z
v0.23.3,2021-08-30T15:35:55Z
v0.23.2,2021-08-26T13:47:28Z
v0.23.1,2021-08-24T14:56:39Z
v0.23.0,2021-04-27T18:57:09Z
v0.22.1,2021-04-02T17:24:32Z
v0.22.0,2020-12-17T15:31:36Z
v0.21.2,2020-11-30T16:11:19Z
v0.21.1,2020-11-05T18:44:44Z
v0.21.0,2020-09-23T09:12:13Z
v0.20.8,2020-09-04T02:39:37Z
v0.20.7,2020-06-13T13:34:59Z
v0.20.6,2020-06-12T17:23:10Z
v0.20.5,2020-05-19T14:21:59Z
v0.20.4,2020-05-11T15:54:27Z
v0.20.3,2020-04-29T14:00:19Z
v0.20.2,2020-04-28T22:36:00Z
v0.20.1,2020-04-23T20:02:35Z
v0.20.0,2020-03-27T16:45:39Z
v0.19.1,2019-10-25T14:57:13Z
v0.19.0,2019-09-24T15:35:53Z
v0.18.1,2019-05-22T07:50:22Z
v0.18rc0,2019-05-19T15:23:08Z
v0.17,2018-11-19T18:28:49Z
v0.16,2018-05-01T14:20:02Z
v0.15.1,2017-11-23T09:43:01Z
v0.15,2017-11-08T13:18:51Z
v0.14,2017-03-23T20:50:16Z
v0.13,2016-09-27T20:02:54Z
v0.12,2016-05-10T16:54:19Z
v0.11,2015-12-24T03:17:11Z
v0.10,2015-10-23T12:41:07Z
v0.9,2015-05-22T07:34:04Z
v0.8.3,2014-09-01T18:47:28Z
