Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
modAL,0.1.0,2018-01-08,0,1,1,0,0,0,1,1,0,1
modAL,0.2.0,2018-02-10,0,1,1,0,0,0,1,1,0,1
modAL,0.2.1,2018-04-18,0,1,1,0,0,0,0,1,0,1
modAL,0.3.0,2018-04-25,0,0,1,1,0,0,1,1,0,1
modAL,0.3.1,2018-10-02,0,1,1,0,0,0,0,1,0,1
modAL,0.3.2,2018-11-26,0,1,1,0,0,0,0,1,0,1
modAL,0.3.3,2018-11-30,0,1,1,0,0,0,0,1,0,1
modAL,0.3.4,2018-12-05,1,1,1,1,0,0,1,1,0,1
modAL,0.3.5,2019-11-11,1,1,1,0,0,1,1,1,0,1
modAL,0.3.6,2020-08-21,0,1,1,1,0,0,1,1,0,1
modAL,0.4.0,2020-11-01,0,1,1,0,0,0,1,1,0,1
modAL,0.4.1,2021-01-07,1,0,1,1,0,0,1,1,0,1
