Release,Published_at
v3.3,2024-12-06T02:03:02Z
v3.2,2024-07-25T14:30:39Z
v3.1.1,2024-03-07T23:00:13Z
v3.1.0,2024-01-27T01:14:52Z
v3.0.0,2023-10-19T16:23:42Z
v2.12.1,2023-09-15T22:57:00Z
v2.11.1,2023-07-21T17:19:55Z
v2.11.0,2023-04-28T23:16:50Z
v2.7.0,2022-04-14T15:35:48Z
v2.6.1,2022-01-31T18:43:26Z
v2.6.0,2021-12-17T23:00:26Z
v2.5.0,2021-10-21T18:33:12Z
v2.4.0,2021-07-26T23:00:14Z
v2.3.0,2021-02-17T04:17:00Z
v2.2.0,2020-12-13T00:11:04Z
v2.1.1,2020-11-20T23:12:48Z
v2.1.0,2020-11-13T23:53:22Z
v2.0.0,2020-10-21T00:01:37Z
v1.8.1,2020-09-18T21:27:02Z
v1.8.0,2020-08-22T00:18:30Z
v1.6.1,2020-05-22T04:03:05Z
v1.6.0,2020-04-22T01:04:56Z
v1.5.0,2020-01-08T16:43:36Z
v1.4.1,2019-07-09T22:47:21Z
v1.4.0,2019-07-03T20:13:50Z
v1.3.1,2019-05-30T22:35:32Z
v1.3.0,2019-04-02T23:38:35Z
v1.2.1,2019-03-01T19:50:53Z
v1.2.0,2019-02-26T22:33:33Z
v1.1.0,2019-02-15T23:54:46Z
v1.0.0,2019-02-06T06:03:08Z
