Release,Published_at
25.0.0rc0,2025-01-13T16:57:04Z
24.0.2,2024-08-26T08:15:26Z
24.0.1,2024-08-20T09:35:45Z
24.0.0,2024-04-17T10:02:45Z
24.0.0rc8,2024-04-17T10:02:28Z
24.0.0rc7,2024-04-15T08:44:14Z
24.0.0rc6,2024-04-11T14:42:29Z
24.0.0rc5,2024-04-11T10:15:01Z
24.0.0rc4,2024-04-10T08:08:14Z
24.0.0rc3,2024-04-10T08:07:28Z
24.0.0rc2,2024-04-08T19:12:16Z
24.0.0rc1,2024-04-08T19:11:56Z
23.1.1,2024-03-20T11:58:59Z
23.1.0,2023-06-14T11:35:37Z
23.1.0rc0,2023-03-28T15:44:34Z
23.0.1,2023-03-24T18:46:26Z
23.0.0,2023-03-10T20:14:05Z
23.0.0rc1,2023-03-03T23:12:00Z
23.0.0rc0,2023-03-03T23:11:24Z
22.0.6,2022-08-24T13:36:14Z
22.0.5,2022-08-24T12:23:40Z
22.0.4,2022-08-23T15:57:43Z
22.0.3,2022-08-19T16:02:49Z
22.0.2,2022-08-15T13:38:50Z
22.0.1,2022-05-03T16:21:39Z
22.0.0,2022-05-03T09:04:52Z
22.0.0rc1,2022-03-13T10:18:24Z
21.0.0rc2,2021-09-30T08:22:47Z
21.0.0rc1,2021-09-28T08:45:47Z
21.0.0rc0,2021-09-28T08:44:45Z
0.16.1,2021-01-30T14:42:59Z
0.16.0,2021-01-05T17:27:08Z
0.15.2,2020-04-15T17:55:37Z
0.15.2rc1,2019-07-30T17:04:24Z
0.15.1,2019-07-27T00:21:40Z
0.15.0.post1,2019-04-05T22:05:22Z
0.15.0,2019-04-05T18:02:54Z
0.14.2,2018-08-21T05:03:02Z
0.14.1,2018-08-20T05:48:04Z
0.14.0,2018-08-17T07:04:46Z
0.13.1,2018-08-16T17:10:54Z
0.13.0,2018-08-16T00:05:30Z
0.12.1,2018-08-14T02:56:12Z
0.12.0,2018-08-10T03:55:27Z
0.11.0,2018-06-05T18:00:53Z
0.10.6,2018-05-30T06:53:56Z
0.10.5,2018-05-28T17:54:35Z
0.10.4,2018-03-23T04:55:52Z
0.10.3,2018-02-26T19:20:51Z
0.10.2,2018-02-16T00:19:37Z
0.10.1,2018-01-18T16:59:11Z
0.10.0,2017-11-19T08:14:41Z
0.9.10,2017-10-19T21:11:41Z
0.9.9,2017-10-10T16:16:00Z
0.9.8,2017-08-29T20:38:19Z
0.9.7,2017-07-26T17:02:46Z
0.9.6,2017-06-04T00:44:29Z
0.9.5,2017-05-25T23:42:33Z
0.9.4,2017-05-18T15:47:47Z
0.9.3,2017-04-23T17:51:50Z
0.9.2,2017-04-12T07:03:32Z
0.9.1,2017-03-22T01:45:53Z
0.9.0-1,2017-03-14T23:12:53Z
0.9.0-0,2017-02-06T19:42:17Z
0.9.0-rc2,2017-02-03T20:33:27Z
