Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
mriqc,0.9.0-rc2,2017-02-03,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.0-0,2017-02-06,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.0-1,2017-03-14,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.1,2017-03-22,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.2,2017-04-12,0,1,1,0,0,0,0,1,0,1
mriqc,0.9.3,2017-04-23,0,1,1,0,0,0,1,1,1,1
mriqc,0.9.4,2017-05-18,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.5,2017-05-25,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.6,2017-06-04,0,1,1,0,0,0,1,1,1,1
mriqc,0.9.7,2017-07-26,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.8,2017-08-29,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.9,2017-10-10,0,1,1,0,0,0,1,1,0,1
mriqc,0.9.10,2017-10-19,0,1,1,0,0,0,1,1,0,1
mriqc,0.10.0,2017-11-19,1,1,1,0,0,1,0,1,0,1
mriqc,0.10.1,2018-01-18,0,1,1,0,0,0,1,1,0,1
mriqc,0.10.2,2018-02-16,0,1,1,0,0,0,1,1,0,1
mriqc,0.10.3,2018-02-26,0,1,1,0,0,0,1,1,0,1
mriqc,0.10.4,2018-03-23,0,1,1,0,0,0,1,1,0,1
mriqc,0.10.5,2018-05-28,0,1,1,0,0,0,0,1,0,1
mriqc,0.10.6,2018-05-30,0,1,1,0,0,0,1,1,0,1
mriqc,0.11.0,2018-06-05,0,1,1,0,0,0,1,1,0,1
mriqc,0.12.0,2018-08-10,0,1,1,0,0,0,0,1,0,1
mriqc,0.12.1,2018-08-14,0,1,1,0,0,0,0,1,0,1
mriqc,0.13.0,2018-08-16,0,1,1,0,0,0,0,1,0,1
mriqc,0.13.1,2018-08-16,0,1,1,0,0,0,0,1,0,1
mriqc,0.14.0,2018-08-17,0,1,1,0,0,0,0,1,0,1
mriqc,0.14.1,2018-08-20,0,1,1,0,0,0,0,1,0,1
mriqc,0.14.2,2018-08-21,0,1,1,1,0,1,1,1,0,1
mriqc,0.15.0,2019-04-05,0,1,1,0,0,0,1,1,0,1
mriqc,0.15.0.post1,2019-04-05,0,1,1,0,0,0,1,1,0,1
mriqc,0.15.1,2019-07-27,0,1,1,0,0,0,0,1,0,1
mriqc,0.15.2rc1,2019-07-30,0,1,1,1,0,0,1,1,0,1
mriqc,0.15.2,2020-04-15,0,1,1,1,0,0,1,1,0,1
mriqc,0.16.0,2021-01-05,0,1,1,0,0,0,1,1,0,1
mriqc,0.16.1,2021-01-30,1,1,1,1,0,0,0,1,0,1
mriqc,21.0.0rc0,2021-09-28,0,1,1,0,0,0,1,1,0,1
mriqc,21.0.0rc1,2021-09-28,0,1,1,0,0,0,1,1,0,1
mriqc,21.0.0rc2,2021-09-30,1,0,1,1,0,0,1,1,0,1
mriqc,22.0.0rc1,2022-03-13,0,1,1,0,0,0,1,1,0,1
mriqc,22.0.0,2022-05-03,0,1,1,0,0,0,1,1,0,1
mriqc,22.0.1,2022-05-03,0,1,1,0,0,0,1,1,0,1
mriqc,22.0.2,2022-08-15,0,1,1,0,0,0,1,1,0,1
mriqc,22.0.3,2022-08-19,0,1,1,0,0,0,0,1,0,1
mriqc,22.0.4,2022-08-23,0,1,1,0,0,0,0,1,0,1
mriqc,22.0.5,2022-08-24,1,1,1,1,0,0,1,1,0,1
mriqc,22.0.6,2022-08-24,1,1,1,1,0,0,1,1,0,1
mriqc,23.0.0rc0,2023-03-03,0,1,1,0,0,0,0,1,0,1
mriqc,23.0.0rc1,2023-03-03,0,1,1,0,0,0,0,1,0,1
mriqc,23.0.0,2023-03-10,0,1,1,0,0,0,1,1,0,1
mriqc,23.0.1,2023-03-24,0,1,1,0,0,0,1,1,0,1
mriqc,23.1.0rc0,2023-03-28,0,1,1,0,0,0,1,1,0,1
mriqc,23.1.0,2023-06-14,0,1,1,1,0,0,0,1,0,1
mriqc,23.1.1,2024-03-20,0,1,1,0,0,0,1,1,0,1
mriqc,24.0.0rc1,2024-04-08,0,1,1,0,0,0,0,1,0,1
mriqc,24.0.0rc2,2024-04-08,0,1,1,0,0,0,0,1,0,1
mriqc,24.0.0rc3,2024-04-10,0,1,1,0,0,0,1,1,0,1
mriqc,24.0.0rc4,2024-04-10,0,1,1,0,0,0,1,1,0,1
mriqc,24.0.0rc5,2024-04-11,0,1,1,0,0,0,1,1,0,1
mriqc,24.0.0rc6,2024-04-11,0,1,1,0,0,0,1,1,0,1
mriqc,24.0.0rc7,2024-04-15,0,1,1,0,0,0,1,1,0,1
mriqc,24.0.0rc8,2024-04-17,1,0,1,1,0,0,1,1,0,1
mriqc,24.0.0,2024-04-17,1,0,1,1,0,0,1,1,0,1
mriqc,24.0.1,2024-08-20,0,1,1,0,0,0,0,1,0,1
mriqc,24.0.2,2024-08-26,1,1,1,1,0,0,1,1,0,1
