Release,Published_at
v1.1.11,2023-06-19T23:50:00Z
v1.1.10,2023-06-05T17:55:46Z
v1.1.9,2023-06-05T17:50:47Z
v1.1.8,2022-01-14T22:10:35Z
v1.1.7,2021-12-20T23:50:57Z
v1.1.6,2021-12-16T19:38:47Z
v1.1.5,2021-12-15T18:57:37Z
v1.1.4,2021-05-03T21:11:20Z
v1.1.3,2021-04-27T16:34:07Z
v1.1.2,2020-07-08T20:15:26Z
v1.1.1,2020-05-19T00:54:47Z
v1.0.8,2019-11-05T00:35:21Z
v1.0.7,2019-09-10T14:44:41Z
v1.0.6,2019-09-02T16:28:28Z
v1.0.5,2019-06-26T04:16:08Z
v1.0.4,2019-05-16T03:18:51Z
v1.0.3,2019-04-11T16:28:12Z
v1.0.2,2019-03-11T23:06:43Z
v1.0.1,2018-12-12T01:20:10Z
v1.0.0,2018-10-30T17:27:38Z
v0.4.0,2018-05-25T01:43:26Z
v0.3.0,2018-04-04T17:41:26Z
v0.2.0,2018-02-05T21:36:06Z
v0.1.5,2017-12-04T05:31:15Z
