Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
mxnet-model-server,v0.1.5,2017-12-04,0,1,1,0,0,0,1,1,0,1
mxnet-model-server,v0.2.0,2018-02-05,0,1,1,0,0,0,1,1,1,1
mxnet-model-server,v0.3.0,2018-04-04,0,1,1,0,0,0,1,1,1,1
mxnet-model-server,v0.4.0,2018-05-25,0,0,1,1,0,0,0,1,1,1
mxnet-model-server,v1.0.0,2018-10-30,0,1,1,0,0,0,1,1,0,1
mxnet-model-server,v1.0.1,2018-12-12,1,1,1,1,0,0,1,1,0,1
mxnet-model-server,v1.0.2,2019-03-11,0,1,1,0,0,0,1,1,0,1
mxnet-model-server,v1.0.3,2019-04-11,0,1,1,0,0,0,1,1,0,1
mxnet-model-server,v1.0.4,2019-05-16,0,1,1,0,0,0,1,1,0,1
mxnet-model-server,v1.0.5,2019-06-26,0,1,1,0,0,0,1,1,0,1
mxnet-model-server,v1.0.6,2019-09-02,0,1,1,0,0,0,0,1,0,1
mxnet-model-server,v1.0.7,2019-09-10,0,1,1,1,0,0,1,1,0,1
mxnet-model-server,v1.0.8,2019-11-05,0,1,1,0,0,1,1,1,0,1
mxnet-model-server,v1.1.1,2020-05-19,1,1,1,1,0,1,1,1,0,1
mxnet-model-server,v1.1.2,2020-07-08,1,1,1,0,0,1,1,1,0,1
mxnet-model-server,v1.1.3,2021-04-27,0,1,1,0,0,0,1,1,0,1
mxnet-model-server,v1.1.4,2021-05-03,1,1,1,1,0,1,1,1,0,1
mxnet-model-server,v1.1.5,2021-12-15,0,1,1,0,0,0,0,1,0,1
mxnet-model-server,v1.1.6,2021-12-16,0,1,1,0,0,0,0,1,0,1
mxnet-model-server,v1.1.7,2021-12-20,0,1,1,0,0,0,0,1,0,1
mxnet-model-server,v1.1.8,2022-01-14,1,1,1,0,0,1,0,1,0,1
mxnet-model-server,v1.1.9,2023-06-05,0,1,1,0,0,0,0,1,0,1
mxnet-model-server,v1.1.10,2023-06-05,0,1,1,0,0,0,0,1,0,1
