Release,Published_at
release/v21.2.2,2021-12-13T00:34:59Z
release/v21.2.1,2021-09-03T06:00:39Z
release/v21.2.0,2021-05-26T06:29:55Z
release/v20.8.1,2021-02-18T00:33:10Z
release/v20.8.0,2020-09-03T21:13:29Z
release/v20.2.5,2020-08-17T13:36:40Z
release/v20.2.4,2020-05-29T12:35:36Z
release/v20.2.3,2020-05-08T04:40:29Z
release/v20.2.2,2020-04-23T15:28:48Z
release/v20.2.1,2020-03-09T13:12:17Z
release/v20.2.0,2020-02-27T19:10:22Z
release/v19.8.7,2020-01-30T10:45:14Z
release/v19.8.6,2020-01-16T15:28:43Z
release/v19.8.5,2019-12-20T14:22:43Z
release/v19.8.4,2019-12-06T12:36:45Z
release/v19.8.3,2019-11-15T08:37:06Z
release/v19.8.2,2019-10-21T14:53:41Z
release/v19.8.1,2019-10-10T18:41:37Z
release/v19.8.0,2019-09-24T10:20:49Z
release/v19.2.14,2019-07-24T15:27:50Z
release/v19.2.13,2019-07-01T12:41:21Z
release/v19.2.12,2019-06-06T12:20:29Z
release/v19.2.11,2019-05-23T20:15:31Z
release/v19.2.10,2019-05-23T01:18:17Z
release/v19.2.9,2019-05-22T12:27:08Z
release/v19.2.8,2019-05-22T12:26:11Z
release/v19.2.7,2019-05-09T11:57:21Z
release/v19.2.6,2019-04-25T16:58:01Z
release/v19.2.5,2019-04-25T16:53:31Z
release/v19.2.4,2019-04-11T11:25:26Z
release/v19.2.3,2019-04-09T15:38:07Z
release/v19.2.2,2019-03-29T00:44:34Z
release/v19.2.1,2019-03-14T21:50:54Z
release/v19.2.0,2019-02-28T23:59:05Z
release/v18.8.13,2019-02-14T12:50:21Z
release/v18.8.12,2019-01-31T16:09:57Z
release/v18.8.11,2019-01-17T15:29:14Z
release/v18.8.10,2019-01-03T11:04:39Z
release/v18.8.9,2018-12-20T15:36:01Z
release/v18.8.8,2018-12-07T02:34:56Z
release/v18.8.7,2018-12-06T15:59:03Z
release/v18.8.6,2018-11-23T07:55:01Z
release/v18.8.5,2018-11-08T16:58:22Z
release/v18.8.4,2018-10-27T05:21:14Z
release/v18.8.3,2018-10-11T12:18:28Z
release/v18.8.2,2018-09-27T21:02:08Z
release/v18.8.1,2018-09-13T11:54:28Z
release/v18.8.0,2018-08-31T18:40:26Z
release/v18.2.13,2018-08-16T14:49:27Z
release/v18.2.12,2018-08-04T10:49:21Z
release/v18.2.11,2018-07-19T14:35:23Z
release/v18.2.10,2018-07-06T11:24:55Z
release/v18.2.9,2018-06-21T15:23:19Z
release/v18.2.8,2018-06-08T20:53:52Z
release/v18.2.7,2018-05-24T19:51:07Z
release/v18.2.6,2018-05-18T00:45:41Z
release/v18.2.5,2018-04-27T09:53:51Z
release/v18.2.4,2018-04-12T19:14:01Z
release/v18.2.3,2018-03-30T02:11:23Z
release/v18.2.2,2018-03-16T06:23:35Z
release/v18.2.1,2018-03-30T01:59:10Z
release/v18.2.0,2018-03-01T17:36:02Z
release/v0.9.19,2018-02-28T20:29:06Z
release/v0.9.18,2018-02-28T08:58:57Z
release/v0.9.17,2018-02-20T22:33:30Z
release/v0.9.16,2018-02-05T16:29:58Z
release/v0.9.15,2018-02-05T16:29:23Z
release/v0.9.14,2018-01-22T16:50:47Z
release/v0.9.13,2018-01-05T08:43:11Z
release/v0.9.11,2017-12-23T00:21:39Z
release/v0.9.10,2017-12-18T17:59:49Z
release/v0.9.9,2017-12-14T04:55:22Z
release/v0.9.8,2017-12-11T08:24:47Z
release/v0.9.7,2017-11-26T16:08:17Z
release/v0.9.6,2017-11-10T22:39:07Z
release/v0.9.5,2017-11-13T08:12:51Z
release/v0.9.4,2017-10-31T22:39:45Z
