Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
mycroft-core,release/v0.6.0,2016-05-23,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.6.1,2016-05-23,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.6.2,2016-05-27,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.6.3,2016-06-03,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.6.9,2016-06-19,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.7.0,2016-06-19,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.7.1,2016-06-19,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.7.2,2016-06-22,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.7.3,2016-06-23,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.7.4,2016-06-23,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.7.5,2016-06-27,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.7.6,2016-06-30,0,1,1,0,0,0,0,1,0,1
mycroft-core,release/v0.7.7,2016-07-07,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.8,2016-07-14,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.9,2016-07-15,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.10,2016-07-21,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.11,2016-07-21,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.12,2016-07-21,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.13,2016-07-28,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.14,2016-08-18,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.15,2016-08-25,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.16,2016-09-05,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.17,2016-09-22,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/0.7.19,2016-09-23,0,1,1,0,0,0,0,1,0,1
mycroft-core,release/0.7.20,2016-10-13,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.0,2016-12-29,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.1,2017-01-25,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.2,2017-02-02,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.3,2017-02-07,0,1,1,0,0,0,0,1,0,1
mycroft-core,release/v0.8.4,2017-02-15,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.5,2017-02-16,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.6,2017-03-01,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.7,2017-03-15,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.8,2017-04-07,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.10,2017-04-21,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.9,2017-04-21,0,1,1,0,0,0,1,1,0,1
mycroft-core,release/v0.8.11,2017-05-05,0,1,1,0,0,0,1,1,0,1
