Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ncnn,20170724,2017-07-24,0,1,1,0,0,0,1,1,0,1
ncnn,20170809,2017-08-09,0,1,1,0,0,0,1,1,0,1
ncnn,20170919,2017-09-19,0,1,1,0,0,0,1,1,0,1
ncnn,20171017,2017-10-17,1,1,1,0,0,0,1,1,0,1
ncnn,20171225,2017-12-25,0,1,1,0,0,0,1,1,0,1
ncnn,20180129,2018-01-29,0,1,1,1,0,0,1,1,0,1
ncnn,20180314,2018-03-14,0,1,1,0,0,0,1,1,0,1
ncnn,20180427,2018-04-27,1,0,1,1,0,0,1,1,0,1
ncnn,20180704,2018-07-04,0,1,1,0,0,0,1,1,0,1
ncnn,20180830,2018-08-30,1,1,1,1,0,0,0,0,0,1
ncnn,20181228,2018-12-24,1,0,1,1,0,0,0,1,0,1
ncnn,20190320,2019-03-20,1,0,1,1,0,0,0,1,0,1
ncnn,20190611,2019-06-11,1,0,1,1,0,0,0,0,0,1
ncnn,20190908,2019-09-08,0,0,1,1,0,0,0,0,0,1
ncnn,20191113,2019-11-13,0,1,1,0,0,0,1,1,0,1
ncnn,20200106,2020-01-06,0,1,1,0,0,0,1,1,0,1
ncnn,20200226,2020-02-26,0,1,1,0,0,0,1,1,0,1
ncnn,20200413,2020-04-13,0,0,1,0,0,0,0,1,0,1
ncnn,20200616,2020-06-16,0,1,1,0,0,0,1,1,1,1
ncnn,20200727,2020-07-27,0,1,1,0,0,0,1,1,0,1
ncnn,20200916,2020-09-16,1,1,1,0,0,0,0,0,0,1
ncnn,20201208,2020-12-08,0,1,1,0,0,0,1,1,0,1
ncnn,20201218,2020-12-18,0,1,1,0,0,0,1,1,0,1
ncnn,20210124,2021-01-24,0,0,1,0,0,0,1,0,0,1
ncnn,20210322,2021-03-22,0,1,1,0,0,0,1,1,1,1
ncnn,20210507,2021-05-07,0,1,1,0,0,0,1,1,0,1
ncnn,20210525,2021-05-25,1,0,1,1,0,0,0,0,0,1
ncnn,20210720,2021-07-20,1,1,1,1,0,0,1,1,0,1
ncnn,20211122,2021-11-22,0,1,1,0,0,0,1,1,0,1
ncnn,20211208,2021-12-08,1,0,1,1,0,0,0,1,0,1
ncnn,20220216,2022-02-16,1,0,1,1,0,0,1,0,1,1
ncnn,20220420,2022-04-20,0,0,1,1,0,0,0,1,0,1
ncnn,20220701,2022-07-01,0,1,1,0,0,0,1,1,0,1
ncnn,20220721,2022-07-21,0,1,1,0,0,0,1,1,0,1
ncnn,20220729,2022-07-29,0,1,1,1,0,0,1,1,0,1
ncnn,20221128,2022-11-28,1,1,1,1,0,0,1,1,0,1
ncnn,20230223,2023-02-23,0,1,1,1,0,0,1,1,0,1
ncnn,20230517,2023-05-17,1,1,1,1,0,0,1,1,0,1
ncnn,20230816,2023-08-16,1,1,1,1,0,0,1,1,0,1
ncnn,20231027,2023-10-27,1,1,1,1,0,0,1,1,0,1
ncnn,20240102,2024-01-02,1,0,1,1,1,0,1,1,0,1
ncnn,20240410,2024-04-10,1,0,1,1,0,0,1,1,0,1
ncnn,20240820,2024-08-20,1,1,1,1,0,0,1,1,0,1
