Release,Published_at
4.14.2,2020-10-20T18:16:39Z
3.10.2,2019-10-30T19:57:40Z
3.10.1,2019-10-20T19:16:39Z
3.10.0,2019-10-07T20:43:11Z
3.9.0,2019-09-15T20:36:01Z
3.8.0,2019-09-11T22:50:32Z
3.7.2,2019-09-11T22:49:59Z
3.7.1,2019-09-07T18:55:05Z
3.7.0,2019-09-07T18:54:42Z
3.5.2,2019-08-20T21:21:52Z
3.5.1,2019-08-18T16:42:25Z
3.5.0,2019-08-09T08:13:11Z
3.4.0,2019-07-24T15:44:49Z
3.2.1,2019-07-16T21:00:57Z
3.1.1,2019-05-06T10:23:41Z
3.1.0,2019-05-05T20:46:08Z
3.0.2,2019-04-22T17:11:10Z
3.0.1,2019-04-17T17:22:24Z
2.5.2,2019-03-26T11:52:35Z
2.5.1,2019-03-07T13:10:37Z
2.4.1,2019-01-30T21:02:08Z
2.4.0,2019-01-25T22:47:34Z
2.3.2,2019-01-22T08:23:00Z
2.3.1,2019-01-10T15:01:56Z
2.3.0,2018-11-26T20:51:09Z
2.1.2,2018-10-28T14:14:12Z
2.1.0,2018-10-12T19:20:51Z
2.0.4,2018-10-12T19:05:50Z
2.0.3,2018-10-05T22:20:41Z
2.0.2,2018-09-22T18:46:49Z
2.0.1,2018-09-21T10:17:03Z
2.0.0,2018-09-18T20:49:35Z
1.3.1,2018-09-14T19:10:59Z
1.3.0,2018-09-10T18:35:02Z
1.2.7,2018-09-05T22:45:01Z
1.2.6,2018-08-26T02:30:20Z
1.2.5,2018-08-26T00:22:55Z
1.2.4,2018-08-24T23:20:15Z
1.2.3,2018-08-17T15:01:03Z
1.2.2,2018-08-17T10:08:01Z
1.2.1,2018-08-16T10:48:16Z
1.1.1,2018-08-12T19:37:56Z
1.1.0,2018-08-12T19:36:07Z
