owner,repo
plasticityai,magnitude
go-ego,gse
NUAA-AL,ALiPy
LexPredict,lexpredict-lexnlp
nok,sklearn-porter
SuperCowPowers,bat
pavlin-policar,openTSNE
esimov,pigo
materialsvirtuallab,megnet
undertheseanlp,underthesea
torchgan,torchgan
loli,medpy
Hironsan,anago
modAL-python,modAL
sebp,scikit-survival
OlafenwaMoses,ImageAI
Accenture,AmpliGraph
fukuball,jieba-php
shenweichen,DeepCTR
qupath,qupath
explosion,spacy-models
philipperemy,keras-tcn
explosion,sense2vec
autonomio,talos
HealthCatalyst,healthcareai-r
Tiiiger,bert_score
kelaberetiv,TagUI
jeeliz,jeelizFaceFilter
NeuroTechX,moabb
mit-nlp,MITIE
cmusatyalab,openface
benfred,implicit
zhenghaoz,gorse
brainiak,brainiak
PaddlePaddle,LARK
pyannote,pyannote-audio
hankcs,HanLP
Hananel-Hazan,bindsnet
openvenues,libpostal
fastnlp,fastNLP
tensorly,tensorly
facebookresearch,flashlight
JohnSnowLabs,spark-nlp
MycroftAI,mycroft-core
dotnet,machinelearning
explosion,spaCy
