Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
olivia,v1.0-beta,2018-06-08,0,1,1,0,0,0,0,1,0,1
olivia,v1.2-beta,2018-06-25,0,1,1,0,0,0,0,1,0,1
olivia,v1.3-beta,2018-07-01,0,1,1,0,0,0,1,1,0,1
olivia,v1.4-beta,2019-02-24,0,1,1,0,0,0,0,1,0,1
olivia,v1.5-beta,2019-04-25,0,1,1,0,0,0,1,1,1,1
olivia,v2.0,2019-08-08,0,1,1,1,0,1,1,1,0,1
olivia,v2.1,2020-03-21,0,1,1,0,0,0,0,1,0,1
olivia,v2.1.1,2020-03-22,0,1,1,0,0,0,0,1,0,1
olivia,v2.2,2020-03-25,0,1,1,0,0,0,0,1,0,1
olivia,v2.3,2020-04-04,0,1,1,0,0,0,0,1,0,1
olivia,v2.4,2020-04-14,0,1,1,0,0,0,1,1,1,1
