Release,Published_at
v1.21.0,2025-03-08T05:33:03Z
v1.20.2,2025-02-12T22:57:43Z
v1.20.1,2024-11-21T22:20:31Z
v1.20.0,2024-11-01T18:02:18Z
v1.19.2,2024-09-04T19:33:14Z
v1.19.0,2024-08-19T18:44:22Z
v1.18.1,2024-06-28T00:29:13Z
v1.18.0,2024-05-21T00:28:41Z
v1.17.3,2024-04-18T15:46:48Z
v1.17.1,2024-02-27T18:34:20Z
v1.17.0,2024-02-03T00:25:21Z
v1.16.3,2023-11-20T20:51:56Z
v1.16.2,2023-11-09T12:08:24Z
v1.16.1,2023-10-11T18:28:30Z
v1.16.0,2023-09-20T21:27:50Z
v1.15.1,2023-06-16T21:12:02Z
v1.15.0,2023-05-25T01:44:38Z
v1.14.1,2023-03-02T19:43:13Z
v1.14.0,2023-02-11T01:03:57Z
v1.13.1,2022-10-24T21:09:37Z
v1.12.1,2022-08-04T22:07:11Z
v1.12.0,2022-07-22T04:43:39Z
v1.11.1,2022-04-27T17:16:55Z
v1.11.0,2022-03-26T16:06:31Z
v1.10.0,2021-12-08T00:22:39Z
v1.9.1,2021-10-05T00:13:24Z
v1.9.0,2021-09-23T02:05:03Z
v1.8.2,2021-08-06T22:53:55Z
v1.8.1,2021-07-08T01:54:51Z
v1.8.0,2021-06-03T06:14:48Z
v1.7.2,2021-04-08T00:38:52Z
v1.7.1,2021-03-04T17:08:05Z
v1.7.0,2021-03-03T04:45:30Z
v1.6.0,2020-12-11T05:06:51Z
v1.5.3,2020-10-29T19:21:54Z
v1.5.2,2020-10-15T07:04:22Z
orttraining_rc3.1,2020-10-08T22:12:24Z
orttraining_rc3,2020-09-30T02:16:15Z
v1.5.1,2020-09-29T23:46:23Z
orttraining_rc2,2020-07-31T18:37:46Z
v1.4.0,2020-07-17T20:24:43Z
v1.3.1,2020-06-16T22:31:02Z
v1.3.0,2020-05-19T03:15:13Z
v1.2.0,2020-03-10T22:22:23Z
v1.1.2,2020-02-21T17:41:51Z
v1.1.1,2020-01-24T01:25:04Z
v1.1.0,2019-12-19T22:07:52Z
v1.0.0,2019-10-30T06:27:47Z
v0.5.1,2019-10-12T23:52:23Z
v0.5.0,2019-08-01T19:48:28Z
v0.4.0,2019-05-02T02:25:51Z
v0.3.1,2019-04-09T00:39:50Z
v0.3.0,2019-03-14T18:17:00Z
v0.2.1,2019-02-11T21:54:43Z
v0.1.5,2018-12-01T02:35:40Z
v0.1.4,2018-11-29T16:17:36Z
