Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
onnxruntime,v0.1.4,2018-11-29,0,1,1,0,0,0,1,1,0,1
onnxruntime,v0.1.5,2018-12-01,0,0,1,0,0,0,0,1,1,1
onnxruntime,v0.2.1,2019-02-11,0,1,1,0,0,0,1,1,0,1
onnxruntime,v0.3.0,2019-03-14,0,1,1,0,0,0,1,1,0,1
onnxruntime,v0.3.1,2019-04-09,0,1,1,0,0,0,1,1,0,1
onnxruntime,v0.4.0,2019-05-02,0,0,1,0,0,0,0,0,1,1
onnxruntime,v0.5.0,2019-08-01,0,0,1,0,0,0,0,1,0,1
onnxruntime,v0.5.1,2019-10-12,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.0.0,2019-10-30,0,1,1,0,0,0,0,0,0,1
onnxruntime,v1.1.0,2019-12-19,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.1.1,2020-01-24,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.1.2,2020-02-21,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.2.0,2020-03-10,0,0,1,0,0,0,0,0,1,1
onnxruntime,v1.3.0,2020-05-19,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.3.1,2020-06-16,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.4.0,2020-07-17,0,1,1,0,0,0,1,1,0,1
onnxruntime,orttraining_rc2,2020-07-31,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.5.1,2020-09-29,0,1,1,0,0,0,1,1,0,1
onnxruntime,orttraining_rc3,2020-09-30,0,1,1,0,0,0,1,1,0,1
onnxruntime,orttraining_rc3.1,2020-10-08,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.5.2,2020-10-15,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.5.3,2020-10-29,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.6.0,2020-12-11,0,0,1,0,0,0,0,0,1,1
onnxruntime,v1.7.0,2021-03-03,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.7.1,2021-03-04,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.7.2,2021-04-08,0,1,1,0,0,0,0,0,0,1
onnxruntime,v1.8.0,2021-06-03,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.8.1,2021-07-08,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.8.2,2021-08-06,0,0,1,0,0,0,0,1,0,1
onnxruntime,v1.9.0,2021-09-23,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.9.1,2021-10-05,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.10.0,2021-12-08,0,0,1,1,0,0,0,0,0,1
onnxruntime,v1.11.0,2022-03-26,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.11.1,2022-04-27,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.12.0,2022-07-22,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.12.1,2022-08-04,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.13.1,2022-10-24,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.14.0,2023-02-11,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.14.1,2023-03-02,0,1,1,0,0,0,0,0,1,1
onnxruntime,v1.15.0,2023-05-25,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.15.1,2023-06-16,0,0,1,0,0,0,0,0,1,1
onnxruntime,v1.16.0,2023-09-20,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.16.1,2023-10-11,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.16.2,2023-11-09,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.16.3,2023-11-20,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.17.0,2024-02-03,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.17.1,2024-02-27,0,0,1,0,0,0,0,1,0,1
onnxruntime,v1.17.3,2024-04-18,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.18.0,2024-05-21,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.18.1,2024-06-28,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.19.0,2024-08-19,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.19.2,2024-09-04,0,0,1,0,0,0,0,0,0,1
onnxruntime,v1.20.0,2024-11-01,0,1,1,0,0,0,1,1,0,1
onnxruntime,v1.20.1,2024-11-21,0,0,1,1,0,0,0,0,0,1
onnxruntime,v1.20.2,2025-02-12,0,1,1,0,0,0,1,1,0,1
