Release,Published_at
4.11.0,2025-01-09T10:25:23Z
5.0.0-alpha,2024-12-05T15:54:34Z
4.10.0,2024-06-03T08:08:09Z
4.9.0,2023-12-28T15:57:30Z
4.8.1,2023-09-27T12:17:26Z
4.8.0,2023-06-28T17:13:16Z
4.7.0,2022-12-28T15:40:40Z
4.6.0,2022-06-07T09:42:37Z
4.5.5,2021-12-25T11:50:04Z
4.5.4,2021-10-10T00:52:59Z
3.4.16,2021-10-10T00:45:11Z
4.5.3,2021-07-05T23:40:18Z
3.4.15,2021-07-05T23:39:49Z
4.5.2,2021-04-02T17:45:06Z
3.4.14,2021-04-02T17:40:27Z
4.5.1,2020-12-22T11:58:44Z
3.4.13,2020-12-22T11:56:00Z
4.5.0,2020-10-12T14:08:37Z
3.4.12,2020-10-12T14:08:13Z
4.4.0,2020-07-18T09:10:57Z
3.4.11,2020-07-17T22:38:17Z
4.3.0,2020-04-03T22:42:41Z
3.4.10,2020-04-03T20:16:09Z
4.2.0,2019-12-20T23:01:32Z
3.4.9,2019-12-20T18:43:23Z
4.1.2,2019-10-10T12:51:35Z
3.4.8,2019-10-10T12:47:07Z
4.1.1,2019-07-26T05:59:29Z
3.4.7,2019-07-26T05:59:20Z
4.1.0,2019-04-08T14:56:29Z
3.4.6,2019-04-08T13:13:47Z
4.0.1,2018-12-22T11:53:31Z
3.4.5,2018-12-22T11:53:03Z
4.0.0,2018-11-18T12:46:36Z
3.4.4,2018-11-17T13:33:11Z
4.0.0-rc,2018-11-12T22:03:21Z
4.0.0-beta,2018-10-16T06:45:35Z
4.0.0-alpha,2018-09-20T12:26:26Z
3.4.3,2018-08-29T13:13:56Z
3.4.2,2018-07-04T17:51:26Z
3.4.1,2018-02-27T18:57:31Z
2.4.13.6,2018-02-26T08:59:38Z
3.4.0,2017-12-24T19:33:37Z
2.4.13.5,2017-12-22T23:30:21Z
3.3.1,2017-10-25T14:03:43Z
2.4.13.4,2017-10-13T13:53:17Z
3.3.0,2017-08-04T11:49:53Z
2.4.13.3,2017-08-01T12:09:23Z
3.2.0,2016-12-23T16:11:41Z
3.2.0-rc,2016-12-20T12:17:46Z
2.4.13.2,2016-12-19T16:16:18Z
2.4.13,2016-05-19T14:45:34Z
3.1.0,2015-12-21T14:27:48Z
3.0.0,2015-06-24T13:21:19Z
2.4.11,2015-02-26T15:42:34Z
3.0.0-beta,2015-02-26T15:41:45Z
2.4.10,2015-02-26T15:40:03Z
3.0.0-alpha,2015-02-26T15:38:52Z
2.4.9,2014-04-24T11:53:06Z
2.4.8,2013-12-31T10:32:34Z
2.4.7,2013-11-12T02:49:36Z
2.4.6,2013-07-04T08:02:34Z
2.4.5,2013-07-04T13:00:38Z
2.4.4,2013-07-04T13:04:00Z
2.4.4-beta,2013-07-04T13:10:22Z
