Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
opencv,2.4.4-beta,2013-07-04,0,0,1,1,0,0,0,0,1,1
opencv,2.4.4,2013-07-04,0,0,1,1,0,0,0,0,1,1
opencv,2.4.5,2013-07-04,0,0,1,1,0,0,0,0,1,1
opencv,2.4.6,2013-07-04,0,0,1,1,0,0,0,0,1,1
opencv,2.4.7,2013-11-12,0,0,1,0,1,0,0,0,1,1
opencv,2.4.8,2013-12-31,0,0,1,1,0,0,0,1,1,1
opencv,2.4.9,2014-04-24,0,0,1,1,0,0,0,1,1,1
opencv,3.0.0-alpha,2015-02-26,0,0,1,1,0,0,0,1,1,1
opencv,2.4.10,2015-02-26,0,0,1,1,0,0,0,1,1,1
opencv,3.0.0-beta,2015-02-26,0,0,1,1,0,0,0,1,1,1
opencv,2.4.11,2015-02-26,0,0,1,1,0,0,0,1,1,1
opencv,3.0.0,2015-06-24,0,0,1,1,0,0,0,1,1,1
opencv,3.1.0,2015-12-21,0,0,1,1,0,0,0,1,1,1
opencv,2.4.13,2016-05-19,0,0,1,1,0,0,0,1,1,1
opencv,2.4.13.2,2016-12-19,0,1,1,0,0,0,1,1,0,1
opencv,3.2.0-rc,2016-12-20,0,1,1,0,0,0,1,1,0,1
opencv,3.2.0,2016-12-23,0,0,1,0,0,1,0,1,1,1
opencv,2.4.13.3,2017-08-01,0,1,1,0,0,0,1,1,0,1
opencv,3.3.0,2017-08-04,0,0,1,0,0,0,0,1,0,1
opencv,2.4.13.4,2017-10-13,0,1,1,0,0,0,1,1,0,1
opencv,3.3.1,2017-10-25,0,0,1,0,1,0,0,1,0,1
opencv,2.4.13.5,2017-12-22,0,1,1,0,0,0,1,1,0,1
opencv,3.4.0,2017-12-24,0,0,1,0,1,0,0,1,0,1
opencv,2.4.13.6,2018-02-26,0,1,1,0,0,0,1,1,0,1
opencv,3.4.1,2018-02-27,0,0,1,1,0,0,0,1,1,1
opencv,3.4.2,2018-07-04,0,0,1,0,1,0,0,1,0,1
opencv,3.4.3,2018-08-29,0,1,1,0,0,0,1,1,0,1
opencv,4.0.0-alpha,2018-09-20,0,1,1,0,0,0,1,1,0,1
opencv,4.0.0-beta,2018-10-16,0,1,1,0,0,0,1,1,0,1
opencv,4.0.0-rc,2018-11-12,0,1,1,0,0,0,1,1,0,1
opencv,3.4.4,2018-11-17,0,1,1,0,0,0,1,1,0,1
opencv,4.0.0,2018-11-18,0,1,1,0,0,0,1,1,0,1
opencv,3.4.5,2018-12-22,0,0,1,1,1,0,0,1,1,1
opencv,4.0.1,2018-12-22,0,0,1,1,1,0,0,1,1,1
opencv,3.4.6,2019-04-08,0,0,1,1,0,0,0,1,1,1
opencv,4.1.0,2019-04-08,0,0,1,1,0,0,0,1,1,1
opencv,3.4.7,2019-07-26,0,0,1,1,0,0,0,1,0,1
opencv,4.1.1,2019-07-26,0,0,1,1,0,0,0,1,0,1
opencv,3.4.8,2019-10-10,0,0,1,1,1,0,0,0,0,1
opencv,4.1.2,2019-10-10,0,0,1,1,1,0,0,0,0,1
opencv,3.4.9,2019-12-20,0,0,1,1,0,0,0,0,1,1
opencv,4.2.0,2019-12-20,0,0,1,1,0,0,0,0,1,1
opencv,3.4.10,2020-04-03,0,0,1,1,0,0,0,1,1,1
opencv,4.3.0,2020-04-03,0,0,1,1,0,0,0,1,1,1
opencv,3.4.11,2020-07-17,0,1,1,0,0,0,1,1,0,1
opencv,4.4.0,2020-07-18,0,0,1,1,0,0,0,0,0,1
opencv,3.4.12,2020-10-12,0,0,1,0,0,0,0,1,0,1
opencv,4.5.0,2020-10-12,0,0,1,0,0,0,0,1,0,1
opencv,3.4.13,2020-12-22,0,0,1,1,0,0,0,0,0,1
opencv,4.5.1,2020-12-22,0,0,1,1,0,0,0,0,0,1
opencv,3.4.14,2021-04-02,0,0,1,1,0,0,0,1,0,1
opencv,4.5.2,2021-04-02,0,0,1,1,0,0,0,1,0,1
opencv,3.4.15,2021-07-05,0,0,1,1,1,0,0,0,0,1
opencv,4.5.3,2021-07-05,0,0,1,1,1,0,0,0,0,1
opencv,3.4.16,2021-10-10,0,0,1,1,0,0,0,0,0,1
opencv,4.5.4,2021-10-10,0,0,1,1,0,0,0,0,0,1
opencv,4.5.5,2021-12-25,0,0,1,1,0,0,0,1,0,1
opencv,4.6.0,2022-06-07,0,0,1,1,0,0,0,0,1,1
opencv,4.7.0,2022-12-28,0,0,1,1,0,0,0,1,0,1
opencv,4.8.0,2023-06-28,0,0,1,1,1,0,0,1,0,1
opencv,4.8.1,2023-09-27,0,0,1,1,1,0,0,0,0,1
opencv,4.9.0,2023-12-28,0,0,1,1,0,0,0,0,0,1
opencv,4.10.0,2024-06-03,0,0,1,1,0,0,0,1,0,1
opencv,5.0.0-alpha,2024-12-05,0,1,1,0,0,0,1,1,0,1
