Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
openml-python,0.5.0,2017-08-17,0,1,1,1,0,0,0,1,1,1
openml-python,v0.8.0,2019-02-15,0,1,1,1,0,0,0,1,1,1
openml-python,v0.10.0,2019-08-19,1,1,1,1,0,0,1,1,0,1
openml-python,0.10.1,2019-11-05,0,1,1,0,0,0,1,1,0,1
openml-python,0.10.2,2019-11-07,1,1,1,1,0,0,1,1,0,1
openml-python,v0.11.0,2020-10-25,0,1,1,0,0,0,1,1,0,1
openml-python,v0.12.0,2021-04-08,0,1,1,0,0,0,1,1,0,1
openml-python,v0.12.1,2021-04-14,1,1,1,1,0,1,1,1,0,1
openml-python,v0.13.0,2023-02-23,0,1,1,0,0,0,1,1,0,1
openml-python,v0.13.1,2023-03-22,0,1,1,0,0,0,1,1,0,1
openml-python,v0.14.0,2023-07-05,1,1,1,1,0,0,1,1,0,1
openml-python,v0.14.2,2024-01-18,1,1,1,0,0,1,0,1,0,1
openml-python,v0.15.0,2024-10-05,1,1,1,1,0,0,1,1,0,1
