Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
openpose,v1.0.0-rc1,2017-10-31,0,1,1,0,0,0,0,1,0,1
openpose,v1.0.0-rc2,2017-10-31,0,1,1,0,0,0,0,1,0,1
openpose,v1.0.0-rc3,2017-10-31,0,1,1,0,0,0,0,1,0,1
openpose,v1.0.0,2017-10-31,0,1,1,0,0,0,0,1,0,1
openpose,v1.0.1,2017-10-31,0,1,1,0,0,0,0,1,0,1
openpose,v1.0.2,2017-10-31,0,1,1,0,0,0,0,1,0,1
openpose,v1.1.0,2017-10-31,0,1,1,0,0,0,0,1,0,1
openpose,v1.2.0,2017-11-03,0,1,1,0,0,0,1,1,0,1
openpose,v1.2.1,2018-01-09,1,0,1,0,0,0,1,1,0,1
openpose,v1.3.0,2018-03-24,1,0,1,1,0,0,1,1,0,1
openpose,v1.4.0,2018-09-02,1,0,1,1,0,1,1,1,0,1
openpose,v1.5.0,2019-05-16,1,1,1,1,0,1,1,1,0,1
openpose,v1.5.1,2019-09-04,1,1,1,1,0,1,1,1,0,1
openpose,v1.6.0,2020-04-27,1,1,1,1,0,1,1,0,0,1
