Release,Published_at
3.38.1,2024-12-23T09:45:28Z
3.38.0,2024-11-15T14:06:37Z
3.37.0,2024-05-27T11:41:20Z
3.36.2,2023-10-31T07:55:39Z
3.36.1,2023-09-22T09:10:22Z
3.36.0,2023-09-08T12:18:00Z
3.35.0,2023-05-05T13:46:30Z
3.34.0,2022-12-05T14:53:46Z
3.33.0,2022-10-05T18:01:24Z
3.32.0,2022-05-13T11:08:03Z
3.31.0,2021-12-19T10:13:04Z
3.29.3,2021-09-10T12:53:49Z
3.29.2,2021-06-08T20:51:36Z
3.29.1,2021-05-31T11:13:28Z
3.29.0,2021-05-28T09:54:37Z
3.27.1,2020-11-03T11:42:32Z
3.27.0,2020-10-09T09:19:10Z
3.26.0,2020-06-14T10:33:44Z
3.24.1,2020-01-17T10:08:37Z
3.24.0,2020-01-10T09:49:11Z
3.23.1,2020-01-10T09:49:47Z
3.22.0,2019-07-09T08:55:53Z
3.20.0,2019-02-01T12:45:23Z
3.19.0,2018-12-11T14:14:30Z
3.18.0,2018-11-13T15:21:19Z
3.17.0,2018-10-29T09:48:13Z
3.15.0,2018-08-06T15:34:28Z
3.14.0,2018-07-04T15:01:18Z
3.12.0,2018-04-09T08:30:25Z
3.10.0,2018-02-19T11:24:41Z
3.9.1,2018-02-02T14:27:43Z
3.9.0,2018-01-22T08:46:09Z
3.8.0,2017-12-04T09:51:10Z
3.7.1,2017-11-17T13:54:29Z
3.7.0,2017-11-17T13:54:51Z
3.6.0,2017-11-17T13:55:13Z
3.5.0,2017-11-17T13:55:30Z
3.4.5,2017-07-27T22:56:24Z
3.4.4,2017-06-16T19:26:24Z
3.4.3,2017-06-04T17:18:51Z
3.4.2,2017-05-03T12:14:02Z
3.3.6,2016-06-24T15:34:44Z
3.3.5,2016-06-03T07:50:52Z
3.1,2014-11-10T14:31:00Z
