Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
orange3,3.1,2014-11-10,0,0,1,1,0,0,0,1,1,1
orange3,3.3.5,2016-06-03,0,1,1,0,0,0,1,1,0,1
orange3,3.3.6,2016-06-24,0,0,1,1,0,0,0,1,1,1
orange3,3.4.2,2017-05-03,0,1,1,0,0,0,1,1,1,1
orange3,3.4.3,2017-06-04,0,1,1,0,0,0,1,1,0,1
orange3,3.4.4,2017-06-16,0,1,1,0,0,0,1,1,1,1
orange3,3.4.5,2017-07-27,0,1,0,0,0,0,1,1,1,1
orange3,3.5.0,2017-11-17,0,1,1,0,0,0,1,1,0,1
orange3,3.6.0,2017-11-17,0,1,1,0,0,0,1,1,0,1
orange3,3.7.0,2017-11-17,0,1,1,0,0,0,1,1,0,1
orange3,3.7.1,2017-11-17,0,1,1,0,0,0,1,1,0,1
orange3,3.8.0,2017-12-04,0,1,1,0,0,0,1,1,1,1
orange3,3.9.0,2018-01-22,0,1,1,0,0,0,1,1,0,1
orange3,3.9.1,2018-02-02,0,1,1,0,0,0,1,1,0,1
orange3,3.10.0,2018-02-19,0,1,1,0,0,0,1,1,0,1
orange3,3.12.0,2018-04-09,0,0,1,0,0,0,0,1,1,1
orange3,3.14.0,2018-07-04,0,1,1,0,0,0,1,1,1,1
orange3,3.15.0,2018-08-06,0,0,1,0,0,0,0,1,1,1
orange3,3.17.0,2018-10-29,0,1,1,0,0,0,1,1,0,1
orange3,3.18.0,2018-11-13,0,1,1,0,0,0,1,1,1,1
orange3,3.19.0,2018-12-11,0,1,1,0,0,0,1,1,1,1
orange3,3.20.0,2019-02-01,0,0,1,0,0,0,0,1,0,1
orange3,3.22.0,2019-07-09,0,0,1,1,0,0,0,1,1,1
orange3,3.23.1,2020-01-10,0,1,1,0,0,0,1,1,0,1
orange3,3.24.0,2020-01-10,0,1,1,0,0,0,1,1,0,1
orange3,3.24.1,2020-01-17,0,0,1,0,0,0,0,1,1,1
orange3,3.26.0,2020-06-14,0,0,1,0,0,0,0,1,1,1
orange3,3.27.0,2020-10-09,0,1,1,0,0,0,1,1,1,1
orange3,3.27.1,2020-11-03,0,1,1,0,0,0,1,1,1,1
orange3,3.29.0,2021-05-28,0,1,1,0,0,0,1,1,0,1
orange3,3.29.1,2021-05-31,0,1,1,0,0,0,1,1,0,1
orange3,3.29.2,2021-06-08,0,1,1,0,0,0,1,1,0,1
orange3,3.29.3,2021-09-10,0,1,1,0,0,0,1,1,1,1
orange3,3.31.0,2021-12-19,0,0,1,0,0,0,0,1,1,1
orange3,3.32.0,2022-05-13,0,1,1,0,0,0,1,1,1,1
orange3,3.33.0,2022-10-05,0,1,1,0,0,0,1,1,0,1
orange3,3.34.0,2022-12-05,0,0,1,1,0,0,0,1,1,1
orange3,3.35.0,2023-05-05,1,0,1,0,0,0,0,1,1,1
orange3,3.36.0,2023-09-08,0,1,1,0,0,0,1,1,0,1
orange3,3.36.1,2023-09-22,0,1,1,0,0,0,1,1,0,1
orange3,3.36.2,2023-10-31,0,1,1,1,0,0,1,1,1,1
orange3,3.37.0,2024-05-27,0,1,1,1,0,0,1,1,1,1
orange3,3.38.0,2024-11-15,0,1,1,0,0,0,1,1,0,1
