Release,Published_at
v1.8.0,2021-07-16T02:45:05Z
v1.7.0,2021-04-28T04:13:17Z
v1.6.0,2021-03-18T08:47:21Z
v1.5.0,2021-01-27T06:49:45Z
v1.4.1,2020-12-24T08:19:45Z
v1.4.0,2020-12-09T04:58:38Z
v1.3.0,2020-11-10T05:48:16Z
v1.2.1,2020-10-15T12:50:37Z
v1.2.0,2020-09-24T17:33:51Z
v1.1.1,2020-07-27T04:27:46Z
v1.1.0,2020-07-21T02:32:18Z
v1.0.1,2020-06-02T06:25:52Z
v1.0.0,2020-05-22T07:39:14Z
v0.17.0,2020-02-20T09:22:26Z
v0.14.0,2019-07-23T11:13:52Z
v0.13.0,2019-06-04T09:19:00Z
v0.12.0,2019-04-25T05:23:17Z
v0.11.0,2019-04-03T04:41:59Z
v0.10.1,2019-03-20T05:05:28Z
v0.9.1,2019-02-22T02:59:58Z
v0.9.0,2019-02-02T03:21:29Z
v0.8.3,2018-12-19T09:25:19Z
v0.8.2,2018-11-30T04:49:07Z
v0.8.1,2018-11-19T06:17:43Z
v0.8.0,2018-10-31T09:48:29Z
v0.7.2,2018-09-17T07:44:23Z
v0.7.1,2018-08-31T07:35:35Z
v0.6.1,2018-07-19T06:34:42Z
