Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
photonix,v0.5.0,2021-06-09,0,1,1,0,0,0,1,1,0,1
photonix,v0.6.0,2021-06-09,0,1,1,0,0,0,1,1,0,1
photonix,v0.7.0,2021-06-09,0,1,1,0,0,0,1,1,0,1
photonix,v0.8.0,2021-06-09,0,1,1,0,0,0,1,1,0,1
photonix,v0.9.0,2021-06-17,0,1,1,0,0,0,1,1,0,1
photonix,v0.10.0,2021-06-22,0,1,1,0,0,0,1,1,0,1
photonix,v0.11.0,2021-06-22,0,1,1,0,0,0,1,1,0,1
photonix,v0.12.0,2021-07-08,0,1,1,0,0,0,0,1,0,1
photonix,v0.13.0,2021-07-08,0,1,1,0,0,0,0,1,0,1
photonix,v0.14.0,2021-07-11,0,1,1,0,0,0,1,1,0,1
photonix,v0.15.0,2021-07-14,0,1,1,0,0,0,1,1,0,1
photonix,v0.16.0,2021-07-14,0,1,1,0,0,0,1,1,0,1
photonix,v0.17.0,2021-07-22,0,1,1,0,0,0,1,1,0,1
photonix,v0.18.0,2021-07-27,0,1,1,0,0,0,1,1,0,1
photonix,v0.19.0,2021-08-08,0,1,1,0,0,0,1,1,0,1
photonix,v0.20.0,2021-08-08,0,1,1,0,0,0,1,1,0,1
photonix,v0.21.0,2021-09-01,0,1,1,0,0,0,1,1,0,1
photonix,v0.22.0,2021-09-02,0,1,1,0,0,0,1,1,0,1
photonix,v0.23.0,2021-09-28,0,1,1,0,0,0,1,1,0,1
