Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
pigo,v1.0.1,2018-08-22,0,1,1,0,0,0,0,1,0,1
pigo,v1.0.2,2018-08-17,0,1,1,0,0,0,0,1,0,1
pigo,v1.0.3,2018-08-22,0,1,1,0,0,0,0,1,0,1
pigo,v1.1.0,2019-01-07,0,1,1,0,0,0,1,1,0,1
pigo,v1.2.0,2019-08-09,0,1,1,0,0,0,1,1,0,1
pigo,v1.2.1,2019-09-19,0,1,1,0,0,0,0,1,0,1
pigo,v1.3.0,2019-10-15,0,1,1,0,0,0,0,1,0,1
pigo,v1.4.0,2019-11-15,0,1,1,0,0,0,1,1,0,1
pigo,v1.4.1,2020-04-27,0,1,1,0,0,0,0,1,0,1
pigo,v1.4.2,2020-05-09,0,1,1,0,0,0,1,1,0,1
pigo,v1.4.3,2020-11-09,0,1,1,0,0,0,0,1,0,1
pigo,v1.4.4,2021-06-16,0,1,1,0,0,0,0,1,0,1
pigo,v1.4.5,2021-11-01,0,1,1,0,0,0,1,1,0,1
