Release,Published_at
v2.0.3,2024-12-22T00:23:34Z
v2.0.2,2024-09-06T03:26:33Z
v2.0.1,2024-06-22T04:46:20Z
v1.1.3,2024-02-09T06:52:05Z
v1.1.2,2023-11-18T08:45:46Z
v1.1.1,2023-10-25T07:38:28Z
v1.1.0,2023-06-25T06:09:29Z
v1.0.8,2023-03-08T22:50:04Z
v1.0.7,2022-12-16T21:21:20Z
v1.0.6,2022-10-24T01:26:05Z
v1.0.5,2022-09-15T13:09:04Z
v1.0.4,2022-07-29T22:36:09Z
v1.0.3,2022-07-05T18:35:18Z
v1.0.2,2022-06-23T15:04:53Z
v1.0.1,2022-05-13T14:57:40Z
v1.0.0,2022-04-23T22:47:22Z
v0.9.9,2022-04-04T02:49:41Z
v0.9.8,2022-03-05T14:48:29Z
v0.9.7,2022-01-04T03:05:12Z
v0.9.6,2021-12-25T03:24:47Z
v0.9.5,2021-10-27T18:18:19Z
v0.9.4,2021-10-01T21:19:13Z
V0.9.3,2021-08-29T22:06:09Z
V0.9.2,2021-08-15T22:24:48Z
V0.9.1,2021-08-14T21:08:24Z
V0.9.0,2021-07-07T13:02:23Z
V0.8.9,2021-06-12T01:35:20Z
V0.8.8,2021-04-27T02:04:22Z
V0.8.6,2021-01-12T18:35:00Z
V0.8.4,2020-11-17T17:07:55Z
V0.8.3,2020-09-19T22:45:12Z
V0.8.1,2020-07-01T21:34:52Z
V0.7.9,2020-05-04T20:14:29Z
V0.7.8,2020-03-17T22:02:56Z
v0.7.6,2019-12-19T16:31:17Z
v0.7.5,2019-10-13T23:07:58Z
v0.7.0,2019-04-30T20:30:03Z
v.0.6.7,2019-01-29T16:38:09Z
V6.0.5,2018-12-03T22:36:34Z
V0.6.1,2018-11-10T21:56:31Z
V0.5.0,2018-06-11T17:31:11Z
v0.4.5,2018-06-04T15:36:05Z
