Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
pyod,v0.4.5,2018-06-04,0,1,1,0,0,0,1,1,0,1
pyod,V0.5.0,2018-06-11,0,0,1,1,0,0,0,1,1,1
pyod,V0.6.1,2018-11-10,0,1,1,0,0,0,1,1,0,1
pyod,V6.0.5,2018-12-03,0,1,1,0,0,0,1,1,0,1
pyod,v.0.6.7,2019-01-29,0,1,1,0,0,0,1,1,1,1
pyod,v0.7.0,2019-04-30,1,1,1,1,0,0,0,1,0,1
pyod,v0.7.5,2019-10-13,0,1,1,0,0,0,1,1,0,1
pyod,v0.7.6,2019-12-19,1,1,1,1,0,0,1,1,0,1
pyod,V0.7.8,2020-03-17,0,1,1,0,0,0,1,1,0,1
pyod,V0.7.9,2020-05-04,0,1,1,0,0,0,1,1,0,1
pyod,V0.8.1,2020-07-01,0,1,1,0,0,0,1,1,0,1
pyod,V0.8.3,2020-09-19,0,1,1,0,0,0,1,1,0,1
pyod,V0.8.4,2020-11-17,0,1,1,0,0,0,1,1,0,1
pyod,V0.8.6,2021-01-12,0,1,1,1,0,0,1,1,0,1
pyod,V0.8.8,2021-04-27,0,1,1,0,0,0,1,1,0,1
pyod,V0.8.9,2021-06-12,0,1,1,0,0,0,1,1,0,1
pyod,V0.9.0,2021-07-07,0,1,1,0,0,0,1,1,0,1
pyod,V0.9.1,2021-08-14,0,1,1,0,0,0,1,1,0,1
pyod,V0.9.2,2021-08-15,0,1,1,0,0,0,1,1,0,1
pyod,V0.9.3,2021-08-29,0,1,1,0,0,0,1,1,0,1
pyod,v0.9.4,2021-10-01,0,1,1,0,0,0,1,1,0,1
pyod,v0.9.5,2021-10-27,0,1,1,0,0,0,1,1,0,1
pyod,v0.9.6,2021-12-25,0,1,1,0,0,0,1,1,0,1
pyod,v0.9.7,2022-01-04,0,1,1,0,0,0,1,1,0,1
pyod,v0.9.8,2022-03-05,0,1,1,0,0,0,1,1,0,1
pyod,v0.9.9,2022-04-04,0,1,1,0,0,0,1,1,0,1
pyod,v1.0.0,2022-04-23,0,1,1,0,0,0,1,1,0,1
pyod,v1.0.1,2022-05-13,1,1,1,1,0,0,1,1,0,1
pyod,v1.0.2,2022-06-23,0,1,1,0,0,0,1,1,0,1
pyod,v1.0.3,2022-07-05,0,1,1,0,0,0,1,1,0,1
pyod,v1.0.4,2022-07-29,0,1,1,0,0,0,1,1,0,1
pyod,v1.0.5,2022-09-15,0,1,1,1,0,0,1,1,0,1
pyod,v1.0.6,2022-10-24,0,1,1,0,0,0,1,1,0,1
pyod,v1.0.7,2022-12-16,0,1,1,0,0,0,1,1,0,1
pyod,v1.0.8,2023-03-08,1,1,1,1,0,0,1,1,0,1
pyod,v1.1.0,2023-06-25,1,1,1,0,0,1,1,1,0,1
pyod,v1.1.1,2023-10-25,0,1,1,0,0,0,1,1,0,1
pyod,v1.1.2,2023-11-18,0,1,1,1,0,0,1,1,0,1
pyod,v1.1.3,2024-02-09,0,0,1,1,0,0,1,1,0,1
pyod,v2.0.1,2024-06-22,1,1,1,1,0,0,1,1,0,1
pyod,v2.0.2,2024-09-06,0,1,1,1,0,0,1,1,0,1
