Release,Published_at
1.9.1,2024-06-02T00:37:00Z
1.9.0,2024-02-19T18:02:43Z
1.8.6,2023-07-29T21:20:27Z
1.8.5,2023-05-29T02:59:36Z
1.8.4,2023-01-03T22:38:54Z
1.8.3,2022-11-22T20:45:53Z
1.8.2,2022-09-06T20:37:01Z
1.8.1,2022-03-24T14:48:23Z
1.8.0,2021-12-14T16:17:56Z
1.7.0,2021-07-06T23:56:51Z
1.6.0,2021-03-04T23:01:34Z
1.5.2,2021-02-01T23:22:45Z
1.5.1,2020-11-17T23:30:42Z
1.5.0,2020-10-15T14:48:44Z
1.4.0,2020-07-20T13:00:52Z
1.3.1,2020-04-07T02:08:42Z
1.3.0,2020-03-08T01:40:44Z
1.2.1,2020-01-23T00:42:54Z
1.2.0,2020-01-17T18:44:29Z
1.1.0,2019-12-07T02:30:24Z
1.0.0,2019-11-16T03:34:59Z
0.5.1,2019-10-24T00:33:11Z
0.5.0,2019-10-23T05:13:27Z
0.4.1,2019-08-19T21:14:24Z
0.4.0,2019-08-10T00:53:31Z
0.3.4,2019-07-16T20:52:14Z
0.3.3,2019-05-03T23:53:11Z
0.3.2,2019-04-23T18:07:55Z
0.3.1,2019-02-13T19:00:28Z
0.3.0,2018-12-07T22:36:22Z
0.2.1,2018-05-22T18:19:31Z
0.2.0,2018-04-25T00:46:38Z
0.1.2,2017-11-10T20:37:07Z
0.1.1,2017-11-05T02:48:07Z
0.1.0,2017-11-03T07:42:41Z
