Release,Published_at
v0.6.0-rc3,2024-10-23T09:51:34Z
v0.6.0-rc2,2024-09-20T16:04:50Z
v0.6.0-rc1,2024-09-11T18:24:51Z
v0.5.1,2024-03-04T14:49:45Z
v0.5.0,2023-12-01T16:35:54Z
v0.5.0-rc2,2023-10-26T18:56:02Z
v0.5.0-rc1,2023-10-06T15:51:02Z
v0.4.4,2023-09-01T16:23:07Z
v0.4.3,2023-02-23T10:47:05Z
v0.4.2,2023-01-19T18:18:03Z
v0.4.1,2022-12-20T19:14:28Z
v0.4.0,2022-12-02T18:48:09Z
v0.3.2,2022-01-17T11:30:59Z
v0.3.1,2021-12-23T20:37:26Z
v0.3.0,2021-09-02T19:00:18Z
v0.3.0-rc2,2021-08-08T10:23:45Z
v0.3.0-rc1,2021-07-01T10:12:55Z
v0.2.3,2020-09-11T12:21:07Z
v0.2.2,2020-07-28T13:37:37Z
v0.2.1,2020-06-23T10:19:47Z
v0.2.0,2020-06-01T14:31:06Z
v0.2.0-m12,2020-05-19T19:31:51Z
v0.2.0-m11,2020-04-29T13:08:22Z
v0.2.0-m10,2020-04-22T11:09:22Z
v0.2.0-m9,2020-02-14T17:43:08Z
v0.2.0-m8,2019-12-10T09:16:10Z
v0.2.0-m7,2019-11-26T21:31:33Z
v0.2.0-m6,2019-11-17T11:51:26Z
v0.2.0-m5,2019-11-02T14:21:50Z
v0.2.0-m4,2019-08-20T20:07:26Z
v0.2.0-m3,2019-07-22T21:19:16Z
v0.2.0-m2,2019-03-15T17:47:55Z
v0.2.0-m1,2019-03-08T21:34:11Z
v0.1.2,2019-11-02T19:08:48Z
v0.1.1,2016-12-07T19:52:12Z
v0.1.0,2016-12-05T00:10:19Z
v0.0.7,2016-11-27T22:42:09Z
v0.0.6,2016-11-14T00:02:22Z
v0.0.5-b,2016-11-08T19:14:29Z
v0.0.4,2016-10-25T12:53:12Z
v0.0.3,2016-10-12T16:05:51Z
v0.0.2,2016-10-10T12:47:07Z
v0.0.1-beta,2016-10-04T20:17:39Z
