Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
qupath,v0.0.1-beta,2016-10-04,0,1,1,0,0,0,0,1,0,1
qupath,v0.0.2,2016-10-10,0,1,1,0,0,0,0,1,0,1
qupath,v0.0.3,2016-10-12,0,1,1,0,0,0,0,1,0,1
qupath,v0.0.4,2016-10-25,0,1,1,0,0,0,0,1,0,1
qupath,v0.0.5-b,2016-11-08,0,1,1,0,0,0,0,1,0,1
qupath,v0.0.6,2016-11-14,0,1,1,0,0,0,0,1,0,1
qupath,v0.0.7,2016-11-27,0,1,1,0,0,0,0,1,0,1
qupath,v0.1.0,2016-12-05,0,1,1,0,0,0,0,1,0,1
qupath,v0.1.1,2016-12-07,0,1,1,1,0,1,1,1,1,1
qupath,v0.1.2,2019-11-02,0,1,1,0,0,0,0,1,0,1
qupath,v0.2.0-m1,2019-03-08,0,1,1,0,0,0,1,1,0,1
qupath,v0.2.0-m2,2019-03-15,0,1,1,0,0,0,0,1,0,1
qupath,v0.2.0-m3,2019-07-22,0,1,1,0,0,0,0,1,0,1
qupath,v0.2.0-m4,2019-08-20,0,1,1,0,0,0,1,1,1,1
qupath,v0.2.0-m5,2019-11-02,0,1,1,0,0,0,0,1,0,1
qupath,v0.2.0-m6,2019-11-17,0,1,1,0,0,0,0,1,0,1
qupath,v0.2.0-m7,2019-11-26,0,1,1,0,0,0,0,1,0,1
qupath,v0.2.0-m8,2019-12-10,0,1,1,0,0,0,1,1,0,1
qupath,v0.2.0-m9,2020-02-14,0,1,1,0,0,0,1,1,1,1
qupath,v0.2.0-m10,2020-04-22,0,1,1,0,0,0,1,1,0,1
qupath,v0.2.0-m11,2020-04-29,0,1,1,0,0,0,1,1,1,1
qupath,v0.2.0-m12,2020-05-19,0,1,1,0,0,0,1,1,0,1
qupath,v0.2.0,2020-06-01,0,1,1,0,0,0,1,1,0,1
qupath,v0.2.1,2020-06-23,0,1,1,0,0,0,1,1,0,1
qupath,v0.2.2,2020-07-28,0,1,1,0,0,0,1,1,0,1
qupath,v0.2.3,2020-09-11,0,1,1,0,0,0,1,1,1,1
qupath,v0.3.0-rc1,2021-07-01,0,1,1,0,0,0,1,1,0,1
qupath,v0.3.0-rc2,2021-08-08,0,1,1,0,0,0,1,1,0,1
qupath,v0.3.0,2021-09-02,0,1,1,0,0,0,1,1,0,1
qupath,v0.3.1,2021-12-23,0,1,1,0,0,0,1,1,0,1
qupath,v0.3.2,2022-01-17,0,0,1,1,0,1,0,1,1,1
qupath,v0.4.0,2022-12-02,0,1,1,0,0,0,0,1,0,1
qupath,v0.4.1,2022-12-20,0,1,1,0,0,0,0,1,0,1
qupath,v0.4.2,2023-01-19,0,1,1,0,0,0,1,1,0,1
qupath,v0.4.3,2023-02-23,0,1,1,0,0,0,1,1,0,1
qupath,v0.4.4,2023-09-01,0,1,1,0,0,0,1,1,1,1
qupath,v0.5.0-rc1,2023-10-06,0,1,1,0,0,0,1,1,0,1
qupath,v0.5.0-rc2,2023-10-26,0,1,1,0,0,0,1,1,0,1
qupath,v0.5.0,2023-12-01,0,1,1,0,0,0,1,1,0,1
qupath,v0.5.1,2024-03-04,0,1,1,0,0,0,1,1,1,1
qupath,v0.6.0-rc1,2024-09-11,0,1,1,0,0,0,1,1,0,1
qupath,v0.6.0-rc2,2024-09-20,0,1,1,0,0,0,1,1,0,1
