Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ranking,v0.1.3,2019-06-20,1,1,1,1,0,0,1,1,0,1
ranking,v0.1.4,2019-09-05,0,1,1,0,0,0,1,1,0,1
ranking,v0.1.5,2019-09-24,0,1,1,0,0,0,1,1,0,1
ranking,v0.1.6,2019-10-22,0,1,1,0,0,0,1,1,0,1
ranking,v0.2.0,2019-10-22,0,1,1,0,0,0,1,1,0,1
ranking,v0.2.1,2019-12-18,0,1,1,0,0,0,1,1,0,1
ranking,v0.2.2,2020-01-17,0,1,1,0,0,0,1,1,0,1
ranking,v0.2.3,2020-03-06,0,1,1,0,0,0,0,1,0,1
ranking,v0.3.0,2020-03-24,0,1,1,0,0,0,1,1,0,1
ranking,v0.3.1,2020-06-01,0,1,1,0,0,0,1,1,0,1
ranking,v0.3.2,2020-08-19,0,1,1,1,0,0,1,1,1,1
ranking,v0.3.3,2021-02-02,0,1,1,0,0,0,1,1,0,1
ranking,v0.4.2,2021-07-22,1,1,1,1,0,0,1,1,0,1
ranking,v0.5.0,2021-11-16,1,1,1,1,0,0,1,1,0,1
ranking,v0.5.1,2022-10-26,0,1,1,0,0,0,1,1,0,1
ranking,v0.5.2,2023-02-01,0,1,1,0,0,0,1,1,0,1
