Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
sacred,0.6.8,2016-01-13,0,1,1,1,0,0,1,1,1,1
sacred,0.6.10,2016-08-08,1,0,1,1,1,1,0,1,0,1
sacred,0.7.0,2017-05-07,1,1,1,1,0,1,1,1,0,1
sacred,0.7.1,2018-05-06,0,1,1,0,0,0,1,1,0,1
sacred,0.7.2,2018-05-06,0,1,1,0,0,0,1,1,0,1
sacred,0.7.3,2018-05-06,0,1,1,0,0,0,1,1,0,1
sacred,0.7.4,2018-06-12,1,1,1,1,1,1,1,0,0,1
sacred,0.7.5,2019-06-20,1,0,1,1,0,0,0,1,0,1
sacred,0.8.0,2019-10-14,1,1,1,0,1,1,0,1,0,1
sacred,0.8.2,2020-11-26,1,1,1,0,0,1,0,1,0,1
sacred,0.8.3,2022-03-28,1,1,1,0,1,1,0,1,0,1
sacred,0.8.4,2023-01-25,0,1,1,1,0,0,1,1,0,1
sacred,0.8.5,2023-11-13,0,1,1,0,0,0,0,1,0,1
sacred,0.8.6,2024-08-26,0,1,1,0,0,0,1,1,0,1
