Release,Published_at
v0.9.0,2021-10-12T15:33:19Z
v0.8.1,2020-09-04T08:55:08Z
v0.8.0,2020-09-03T15:11:05Z
v0.7.4,2020-02-23T21:03:34Z
v0.7.3,2020-02-23T14:55:19Z
v0.7.2,2020-02-11T23:09:06Z
v0.7.1,2020-02-02T13:09:26Z
v0.7,2020-01-29T19:01:08Z
v0.7rc4,2020-01-29T15:12:07Z
v0.7rc3,2020-01-29T11:02:24Z
v0.7rc2,2020-01-29T10:42:11Z
v0.7rc1,2020-01-29T08:39:51Z
v0.6,2019-04-21T21:55:10Z
v0.6rc1,2019-04-21T19:28:11Z
v0.5.2,2018-03-25T08:02:11Z
v0.5.1,2018-02-09T22:12:12Z
v0.5,2018-02-05T08:07:00Z
v0.5rc1,2018-01-23T08:16:44Z
v0.4,2017-08-21T13:40:43Z
v0.4rc1,2017-08-21T11:08:35Z
v0.3,2017-02-13T12:04:01Z
v0.2,2016-10-28T19:11:47Z
v0.1-fix,2016-08-10T10:35:50Z
