Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
scikit-optimize,v0.1-fix,2016-08-10,1,1,1,1,0,0,0,1,0,1
scikit-optimize,v0.2,2016-10-28,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.3,2017-02-13,0,0,1,1,0,0,0,1,0,1
scikit-optimize,v0.4rc1,2017-08-21,0,0,1,1,0,0,0,0,0,1
scikit-optimize,v0.4,2017-08-21,0,0,1,1,0,0,0,0,0,1
scikit-optimize,v0.5rc1,2018-01-23,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.5,2018-02-05,0,1,1,0,0,0,0,1,0,1
scikit-optimize,v0.5.1,2018-02-09,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.5.2,2018-03-25,1,1,1,1,1,0,1,1,0,1
scikit-optimize,v0.6rc1,2019-04-21,0,0,1,1,0,0,1,0,0,1
scikit-optimize,v0.6,2019-04-21,0,0,1,1,0,0,1,0,0,1
scikit-optimize,v0.7rc1,2020-01-29,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.7rc2,2020-01-29,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.7rc3,2020-01-29,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.7rc4,2020-01-29,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.7,2020-01-29,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.7.1,2020-02-02,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.7.2,2020-02-11,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.7.3,2020-02-23,1,0,1,1,1,0,1,1,0,1
scikit-optimize,v0.7.4,2020-02-23,1,0,1,1,1,0,1,1,0,1
scikit-optimize,v0.8.0,2020-09-03,0,1,1,0,0,0,1,1,0,1
scikit-optimize,v0.8.1,2020-09-04,1,1,1,0,1,1,0,1,0,1
