Release,Published_at
v0.24.1,2025-03-25T21:55:00Z
v0.24.0,2025-02-24T20:45:20Z
v0.23.1,2024-11-04T10:06:51Z
v0.23.0,2024-06-30T09:24:48Z
v0.22.2,2023-12-30T23:01:21Z
v0.22.1,2023-10-08T12:32:19Z
v0.22.0,2023-10-01T14:05:16Z
v0.21.0,2023-06-11T14:55:31Z
v0.20.0,2023-03-05T12:07:30Z
v0.19.0.post1,2022-10-24T17:57:57Z
v0.19.0,2022-10-23T18:06:51Z
v0.18.0,2022-08-15T14:14:02Z
v0.17.2,2022-04-24T17:31:42Z
v0.17.1,2022-03-05T14:45:30Z
v0.17.0,2022-01-09T11:58:18Z
v0.16.0,2021-10-30T10:39:56Z
v0.15.0,2021-03-20T11:51:52Z
v0.14.0,2020-10-07T17:24:10Z
v0.13.1,2020-07-04T10:07:28Z
v0.13.0,2020-06-28T16:03:06Z
v0.12.0,2020-04-15T09:52:15Z
v0.11,2019-12-21T15:14:19Z
v0.10,2019-09-02T16:48:05Z
v0.9,2019-07-26T18:26:12Z
v0.8,2019-05-01T15:12:25Z
v0.7,2019-02-27T16:20:02Z
v0.6.0,2018-10-07T14:05:24Z
v0.5,2017-12-09T10:03:22Z
v0.4,2017-10-29T09:47:30Z
v0.3,2017-08-01T20:23:34Z
v0.2,2017-05-29T17:02:46Z
