Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
scikit-survival,v0.2,2017-05-29,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.3,2017-08-01,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.4,2017-10-29,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.5,2017-12-09,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.6.0,2018-10-07,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.7,2019-02-27,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.8,2019-05-01,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.9,2019-07-26,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.10,2019-09-02,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.11,2019-12-21,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.12.0,2020-04-15,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.13.0,2020-06-28,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.13.1,2020-07-04,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.14.0,2020-10-07,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.15.0,2021-03-20,1,0,1,1,0,0,1,1,0,1
scikit-survival,v0.16.0,2021-10-30,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.17.0,2022-01-09,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.17.1,2022-03-05,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.17.2,2022-04-24,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.18.0,2022-08-15,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.19.0,2022-10-23,0,1,1,0,0,0,0,1,0,1
scikit-survival,v0.19.0.post1,2022-10-24,0,1,1,1,0,0,1,1,0,1
scikit-survival,v0.20.0,2023-03-05,0,1,1,1,0,0,1,1,0,1
scikit-survival,v0.21.0,2023-06-11,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.22.0,2023-10-01,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.22.1,2023-10-08,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.22.2,2023-12-30,0,1,1,1,0,0,1,1,0,1
scikit-survival,v0.23.0,2024-06-30,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.23.1,2024-11-04,0,1,1,0,0,0,1,1,0,1
scikit-survival,v0.24.0,2025-02-24,0,1,1,0,0,0,1,1,0,1
