Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
scispacy,v0.2.0,2019-04-03,0,1,1,0,0,0,1,1,0,1
scispacy,v0.2.2,2019-06-03,0,1,1,0,0,0,1,1,1,1
scispacy,v0.2.4,2019-10-23,1,0,0,1,0,0,0,1,0,0
scispacy,v0.2.5,2020-07-08,0,1,1,0,0,0,1,1,0,1
scispacy,v0.3.0,2020-10-16,0,1,1,1,0,0,1,1,1,1
scispacy,v0.4.0,2021-02-12,1,1,1,0,1,1,0,1,0,1
scispacy,v0.5.0,2022-03-10,0,1,1,1,0,0,1,1,0,1
scispacy,v0.5.1,2022-09-07,0,1,1,0,0,0,1,1,0,1
scispacy,v0.5.2,2023-04-29,1,1,1,1,0,0,1,1,0,1
scispacy,v0.5.3,2023-09-30,0,1,1,0,0,0,1,1,0,1
scispacy,v0.5.4,2024-03-08,0,1,1,1,0,0,1,1,0,1
