Release,Published_at
v2.8.5,2024-11-07T16:16:27Z
v2.8.4,2024-10-11T15:53:32Z
v2.8.3,2024-07-17T11:23:52Z
v2.8.2,2024-06-26T11:28:17Z
v1.18.2,2024-06-05T10:53:25Z
v2.8.1,2024-03-21T16:18:59Z
v2.8.0,2024-02-28T16:34:44Z
v1.18.1,2024-02-29T16:44:51Z
v2.8.0-rc2,2024-02-27T11:23:54Z
v2.8.0-rc1,2024-02-20T11:24:23Z
v1.18.0,2024-01-22T14:02:25Z
v2.7.0,2024-01-22T14:02:17Z
v2.7.0-rc1,2023-08-25T09:18:01Z
v1.17.1,2023-08-17T09:13:00Z
v1.17.0,2023-07-13T09:37:01Z
v2.6.0,2023-07-11T12:46:53Z
v2.5.0,2023-05-16T09:31:49Z
v1.16.0,2023-04-21T14:12:25Z
v2.4.0,2023-04-18T15:33:59Z
v1.15.1,2023-03-22T13:29:50Z
v2.3.0,2023-03-14T11:05:33Z
v2.2.0,2023-02-07T11:14:06Z
v2.1.0,2023-01-17T15:20:15Z
v1.15.0,2022-12-06T20:13:48Z
v2.0.0,2022-12-02T19:59:45Z
v1.14.1,2022-08-18T17:27:43Z
v1.14.0,2022-06-17T17:19:53Z
v1.13.1,2022-02-22T09:35:47Z
v1.13.0,2022-02-17T12:23:49Z
v1.12.0,2021-12-14T06:57:05Z
v1.11.2,2021-10-19T09:22:19Z
v1.11.1,2021-10-04T19:20:24Z
v1.11.0,2021-09-22T08:58:31Z
v1.10.0,2021-08-18T12:06:23Z
v1.9.1,2021-07-02T12:46:49Z
v1.9.0,2021-06-16T14:24:56Z
v1.8.0,2021-05-20T17:29:03Z
v1.7.0,2021-03-19T13:52:29Z
v1.6.0,2021-02-03T14:20:06Z
v1.5.1,2020-12-19T14:05:47Z
v1.5.0,2020-12-04T08:44:06Z
v1.4.0,2020-10-26T16:37:46Z
v1.3.0,2020-09-29T15:09:36Z
v1.2.3,2020-08-14T10:43:20Z
v1.2.2,2020-07-30T08:33:36Z
v1.2.1,2020-07-01T14:33:38Z
v1.2.0,2020-06-18T16:49:15Z
v1.1.0,2020-04-16T09:59:30Z
v1.0.2,2020-02-18T12:01:41Z
v1.0.1,2020-01-15T10:41:15Z
v1.0.0,2019-12-18T15:30:40Z
v0.5.1,2019-11-21T10:55:45Z
v0.5.0,2019-11-01T11:49:10Z
v0.4.1,2019-09-19T13:34:52Z
v0.4.0,2019-08-16T09:28:31Z
v0.3.1,2019-06-28T11:05:29Z
v0.3.0,2019-06-05T11:08:06Z
v0.2.7,2019-04-29T11:32:26Z
v0.2.6,2019-02-22T10:41:42Z
v0.2.5,2018-12-16T17:21:34Z
v0.2.4,2018-11-07T15:04:24Z
v0.2.3,2018-09-17T10:50:37Z
v0.2.2,2018-07-18T13:19:34Z
v0.2.1,2018-07-09T10:36:11Z
v0.2.0,2018-06-29T10:41:37Z
v0.1.8,2018-06-27T13:08:27Z
v0.1.7,2018-06-04T09:58:22Z
v0.1.6,2018-03-30T08:09:41Z
v0.1.5,2018-02-19T13:06:28Z
v0.1.4,2018-02-05T12:00:41Z
v0.1.3,2018-01-26T10:37:51Z
v0.1.2,2018-01-24T10:45:08Z
v0.1.1,2018-01-10T18:16:21Z
v0.1.0,2018-01-03T16:07:44Z
