Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
seldon-core,v0.1.0,2018-01-03,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.1.1,2018-01-10,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.1.2,2018-01-24,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.1.3,2018-01-26,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.1.4,2018-02-05,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.1.5,2018-02-19,0,1,1,0,0,0,1,1,1,1
seldon-core,v0.1.6,2018-03-30,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.1.7,2018-06-04,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.1.8,2018-06-27,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.2.0,2018-06-29,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.2.1,2018-07-09,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.2.2,2018-07-18,0,1,1,1,0,0,1,1,1,1
seldon-core,v0.2.3,2018-09-17,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.2.4,2018-11-07,0,1,1,0,0,0,1,1,1,1
seldon-core,v0.2.5,2018-12-16,0,1,1,0,0,0,1,1,1,1
seldon-core,v0.2.6,2019-02-22,0,1,1,0,0,0,1,1,1,1
seldon-core,v0.2.7,2019-04-29,0,1,1,0,0,0,1,1,1,1
seldon-core,v0.3.0,2019-06-05,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.3.1,2019-06-28,0,1,1,0,0,0,1,1,1,1
seldon-core,v0.4.0,2019-08-16,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.4.1,2019-09-19,0,1,1,0,0,0,1,1,1,1
seldon-core,v0.5.0,2019-11-01,0,1,1,0,0,0,1,1,0,1
seldon-core,v0.5.1,2019-11-21,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.0.0,2019-12-18,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.0.1,2020-01-15,0,1,1,0,0,0,1,1,1,1
seldon-core,v1.0.2,2020-02-18,0,1,1,0,0,0,1,1,1,1
seldon-core,v1.1.0,2020-04-16,0,0,1,1,1,0,0,1,1,1
seldon-core,v1.2.0,2020-06-18,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.2.1,2020-07-01,0,1,1,0,0,0,1,1,1,1
seldon-core,v1.2.2,2020-07-30,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.2.3,2020-08-14,0,1,1,0,0,0,1,1,1,1
seldon-core,v1.3.0,2020-09-29,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.4.0,2020-10-26,0,1,0,0,0,0,1,1,0,1
seldon-core,v1.5.0,2020-12-04,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.5.1,2020-12-19,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.6.0,2021-02-03,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.7.0,2021-03-19,0,0,1,0,0,0,0,0,0,1
seldon-core,v1.8.0,2021-05-20,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.9.0,2021-06-16,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.9.1,2021-07-02,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.10.0,2021-08-18,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.11.0,2021-09-22,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.11.1,2021-10-04,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.11.2,2021-10-19,0,0,1,0,0,0,1,0,0,1
seldon-core,v1.12.0,2021-12-14,1,1,1,0,0,0,1,0,0,1
seldon-core,v1.13.0,2022-02-17,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.13.1,2022-02-22,1,1,1,1,0,0,1,1,0,1
seldon-core,v1.14.0,2022-06-17,1,1,1,0,0,0,1,1,0,1
seldon-core,v1.14.1,2022-08-18,1,1,1,0,0,0,1,1,0,1
seldon-core,v2.0.0,2022-12-02,0,1,1,0,0,0,0,1,0,1
seldon-core,v1.15.0,2022-12-06,1,1,1,1,0,0,1,1,0,1
seldon-core,v2.1.0,2023-01-17,0,1,1,0,0,0,1,1,0,1
seldon-core,v2.2.0,2023-02-07,0,1,1,0,0,0,1,1,0,1
seldon-core,v2.3.0,2023-03-14,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.15.1,2023-03-22,0,1,1,0,0,0,1,1,0,1
seldon-core,v2.4.0,2023-04-18,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.16.0,2023-04-21,0,1,1,0,0,0,1,1,0,1
seldon-core,v2.5.0,2023-05-16,0,1,1,1,0,0,1,1,0,1
seldon-core,v2.6.0,2023-07-11,0,1,1,0,0,0,0,1,0,1
seldon-core,v1.17.0,2023-07-13,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.17.1,2023-08-17,0,1,1,0,0,0,0,1,0,1
seldon-core,v2.7.0-rc1,2023-08-25,1,1,1,0,0,1,0,1,0,1
seldon-core,v2.7.0,2024-01-22,0,1,1,0,0,0,1,1,0,1
seldon-core,v1.18.0,2024-01-22,0,1,1,0,0,0,1,1,0,1
seldon-core,v2.8.0-rc1,2024-02-20,0,1,1,0,0,0,1,1,0,1
seldon-core,v2.8.0-rc2,2024-02-27,0,1,1,0,0,0,0,1,0,1
seldon-core,v2.8.0,2024-02-28,0,1,1,0,0,0,0,1,0,1
seldon-core,v2.8.1,2024-03-21,1,1,1,1,0,0,1,1,0,1
seldon-core,v1.18.2,2024-06-05,0,1,1,0,0,0,0,1,0,1
seldon-core,v2.8.2,2024-06-26,0,1,1,0,0,0,0,1,0,1
seldon-core,v2.8.3,2024-07-17,0,1,1,0,0,0,1,1,0,1
