Release,Published_at
v2.0.2,2023-04-17T13:11:14Z
v2.0.1,2022-12-08T13:16:53Z
v2.0.0,2021-02-07T06:11:17Z
v1.0.3,2021-02-07T04:36:05Z
v1.0.2,2019-11-22T17:40:43Z
v1.0.1,2019-11-22T15:49:56Z
v1.0.0,2019-11-22T15:07:44Z
v1.0.0a9,2019-11-21T01:57:57Z
v1.0.0a10,2019-11-21T20:08:54Z
v1.0.0a8,2019-11-19T15:48:25Z
v1.0.0a7,2019-11-19T15:45:32Z
v1.0.0a6,2019-11-03T17:17:36Z
v1.0.0a5,2019-11-02T16:46:09Z
v1.0.0a4,2019-11-02T16:45:56Z
v1.0.0a3,2019-11-02T16:45:36Z
v1.0.0a2,2019-10-31T21:17:11Z
v1.0.0a1,2019-09-12T14:12:58Z
v1.0.0a0,2018-04-08T15:31:45Z
