Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
sense2vec,v1.0.0a0,2018-04-08,1,0,1,1,0,1,1,1,0,1
sense2vec,v1.0.0a1,2019-09-12,0,1,1,1,0,0,1,1,0,1
sense2vec,v1.0.0a2,2019-10-31,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a3,2019-11-02,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a4,2019-11-02,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a5,2019-11-02,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a6,2019-11-03,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a7,2019-11-19,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a8,2019-11-19,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a10,2019-11-21,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0a9,2019-11-21,0,1,1,0,0,0,1,1,0,1
sense2vec,v1.0.0,2019-11-22,1,1,1,1,0,0,1,1,0,1
sense2vec,v1.0.1,2019-11-22,1,1,1,1,0,0,1,1,0,1
sense2vec,v1.0.2,2019-11-22,1,1,1,1,0,0,1,1,0,1
sense2vec,v1.0.3,2021-02-07,1,1,1,0,0,1,0,1,0,1
sense2vec,v2.0.0,2021-02-07,1,1,1,0,0,1,0,1,0,1
sense2vec,v2.0.1,2022-12-08,0,1,1,0,0,0,0,1,0,1
