Release,Published_at
v0.47.1,2025-03-22T20:53:30Z
v0.47.0,2025-03-05T06:49:38Z
v0.46.0,2024-06-27T10:06:50Z
v0.45.1,2024-05-07T11:32:42Z
v0.45.0,2024-03-08T11:43:15Z
v0.44.1,2024-01-25T13:08:31Z
v0.44.0,2023-12-07T12:14:26Z
v0.43.0,2023-10-09T09:41:17Z
v0.42.1,2023-07-15T11:15:28Z
v0.42.0,2023-07-06T17:38:22Z
v0.41.0,2022-06-16T00:31:04Z
v0.40.0,2021-10-20T18:36:57Z
v0.39.0,2021-03-03T18:38:33Z
v0.38.1,2021-01-15T18:02:54Z
v0.38.0,2021-01-14T17:33:16Z
v0.37.0,2020-11-04T21:26:02Z
v0.36.0,2020-08-27T23:15:10Z
0.35.0,2020-02-27T19:35:49Z
0.34.0,2019-12-27T17:51:57Z
0.33.0,2019-12-11T21:39:57Z
0.32.1,2019-11-06T19:23:14Z
0.32.0,2019-11-06T17:04:08Z
0.31.0,2019-10-21T02:42:31Z
0.30.2,2019-10-09T17:54:34Z
0.30.1,2019-09-09T22:17:07Z
0.30.0,2019-08-31T23:10:38Z
0.29.3,2019-06-19T20:48:02Z
0.29.2,2019-06-19T15:46:47Z
0.29.1,2019-05-15T10:10:04Z
0.29.0,2019-05-14T23:45:07Z
0.28.5,2019-02-16T17:59:43Z
0.28.4,2019-02-16T02:00:34Z
0.28.3,2019-01-24T17:30:11Z
0.28.2,2019-01-23T22:35:40Z
0.28.1,2019-01-23T21:36:13Z
0.28.0,2019-01-21T19:11:47Z
0.27.0,2019-01-01T17:46:01Z
0.26.0,2018-12-12T21:35:42Z
0.25.2,2018-11-09T19:57:06Z
0.25.1,2018-11-08T00:30:23Z
0.25.0,2018-11-07T16:25:53Z
0.24.0,2018-08-24T00:56:33Z
0.23.1,2018-08-16T16:01:19Z
0.23.0,2018-08-16T00:48:55Z
v0.22.3,2018-08-09T00:33:55Z
v0.22.2,2018-08-08T18:46:19Z
v0.22.1,2018-08-08T15:32:54Z
v0.22.0,2018-08-08T04:21:46Z
v0.21.0,2018-07-24T16:34:58Z
v0.20.2,2018-07-23T16:53:21Z
v0.20.1,2018-07-17T15:42:18Z
v0.20.0,2018-07-17T05:00:28Z
v0.19.5,2018-07-13T22:47:31Z
v0.19.4,2018-07-12T16:20:01Z
V0.19.3,2018-07-07T01:21:21Z
v0.19.2,2018-06-29T18:41:58Z
v0.19.1,2018-06-28T23:42:12Z
