Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
sklearn-porter,v0.1.0,2016-11-07,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.2.0,2016-11-18,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.2.1,2016-12-10,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.3.0,2017-01-08,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.3.1,2017-01-28,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.3.2,2017-01-29,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.4.0,2017-03-24,0,1,1,0,0,0,1,1,0,1
sklearn-porter,v0.4.1,2017-04-16,0,1,1,0,0,0,1,1,0,1
sklearn-porter,v0.5.0,2017-05-26,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.5.1,2017-08-26,0,1,1,0,0,0,1,1,1,1
sklearn-porter,v0.5.2,2017-08-26,0,1,1,0,0,0,1,1,1,1
sklearn-porter,v0.6.0,2017-12-04,0,1,1,0,0,0,1,1,0,1
sklearn-porter,v0.6.1,2018-01-03,0,1,1,0,0,0,0,1,0,1
sklearn-porter,v0.6.2,2018-02-03,0,0,1,1,0,1,1,1,1,1
