Release,Published_at
v1.1.0,2025-01-10T13:04:37Z
v1.0.0,2024-05-27T15:25:43Z
v0.15.0,2023-09-04T10:10:59Z
v0.14.0,2023-06-26T15:29:37Z
v0.13.0,2023-05-17T10:20:33Z
v0.12.1,2022-11-18T12:42:50Z
v0.12.0,2022-10-07T09:48:21Z
v0.11.0,2021-10-31T15:54:20Z
v0.10.0,2021-03-23T15:34:51Z
v0.9.0,2020-08-30T10:46:40Z
v0.8.0,2020-04-12T16:37:20Z
v0.7.0,2019-11-29T10:40:20Z
v0.6.0,2019-06-19T15:21:37Z
v0.5.0,2018-12-13T13:05:43Z
v0.4.0,2018-10-24T13:52:11Z
v0.3.0,2018-07-26T12:47:55Z
v0.2.0,2018-05-04T14:50:40Z
