Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
skorch,v0.2.0,2018-05-04,1,1,1,1,0,0,0,1,0,1
skorch,v0.3.0,2018-07-26,0,1,1,0,0,0,1,1,0,1
skorch,v0.4.0,2018-10-24,0,1,1,0,0,0,1,1,0,1
skorch,v0.5.0,2018-12-13,1,1,1,1,0,0,1,1,0,1
skorch,v0.6.0,2019-06-19,1,1,1,1,0,0,1,1,0,1
skorch,v0.7.0,2019-11-29,1,1,1,1,0,0,1,1,0,1
skorch,v0.8.0,2020-04-12,1,1,1,1,0,0,1,1,0,1
skorch,v0.9.0,2020-08-30,1,1,1,1,0,0,1,1,0,1
skorch,v0.10.0,2021-03-23,1,1,1,1,0,0,1,1,0,1
skorch,v0.11.0,2021-10-31,1,1,1,1,0,1,1,1,0,1
skorch,v0.12.0,2022-10-07,0,1,1,0,0,0,1,1,0,1
skorch,v0.12.1,2022-11-18,0,1,1,1,0,1,1,1,0,1
skorch,v0.13.0,2023-05-17,0,1,1,0,0,0,1,1,0,1
skorch,v0.14.0,2023-06-26,0,1,1,1,0,0,1,1,0,1
skorch,v0.15.0,2023-09-04,0,1,1,1,0,0,1,1,0,1
skorch,v1.0.0,2024-05-27,1,1,1,1,0,0,1,1,0,1
