Release,Published_at
v0.36.0,2025-02-05T08:19:17Z
v0.35.1,2025-02-02T23:57:55Z
v0.35.0,2024-12-09T16:13:44Z
v0.34.1,2024-12-03T12:11:35Z
v0.34.0,2024-10-19T19:34:17Z
v0.33.2,2024-10-18T10:51:55Z
v0.33.1,2024-09-26T08:09:31Z
v0.33.0,2024-09-10T06:36:10Z
v0.32.4,2024-09-06T10:50:50Z
v0.32.3,2024-08-27T11:53:27Z
v0.32.2,2024-08-27T08:49:21Z
v0.31.2,2024-08-13T10:00:43Z
v0.32.1,2024-08-12T19:06:28Z
v0.32.0,2024-08-12T06:27:09Z
v0.31.1,2024-08-10T10:34:11Z
v0.31.0,2024-07-11T19:02:18Z
v0.30.2,2024-07-04T12:35:51Z
v0.30.1,2024-06-04T19:42:07Z
v0.30.0,2024-06-03T23:22:02Z
v0.29.1,2024-06-01T17:47:35Z
v0.29.0,2024-05-01T13:07:21Z
v0.28.1,2024-04-26T22:42:43Z
v0.28.0,2024-03-27T21:36:41Z
v0.27.1,2024-03-25T13:30:41Z
v0.27.0,2024-02-27T23:41:31Z
v0.26.1,2024-02-26T10:32:49Z
v0.26.0,2024-01-26T21:33:01Z
v0.25.1,2024-01-25T22:18:53Z
v0.25.0,2023-12-26T18:13:16Z
v0.24.2,2023-12-24T22:29:15Z
v0.24.1,2023-11-05T18:26:59Z
v0.24.0,2023-10-13T20:23:42Z
v0.23.1,2023-10-13T13:49:09Z
v0.23.0,2023-09-17T10:46:27Z
v0.22.1,2023-09-17T09:55:34Z
v0.22.0,2023-08-18T12:14:30Z
v0.21.1,2023-08-17T20:29:13Z
v0.21.0,2023-07-20T08:10:21Z
v0.20.1,2023-07-15T20:35:43Z
v0.20.0,2023-06-24T13:01:21Z
v0.19.2,2023-06-21T19:40:59Z
v0.19.1,2023-05-31T20:39:25Z
v0.19.0,2023-05-31T12:27:13Z
v0.18.1,2023-05-27T07:30:37Z
v0.18.0,2023-04-28T22:59:02Z
v0.17.2,2023-04-24T21:33:34Z
v0.17.1,2023-04-10T22:26:29Z
v0.17.0,2023-04-03T23:51:57Z
v0.16.1,2023-02-14T01:14:15Z
v0.16.0,2023-01-30T07:55:27Z
v0.15.1,2023-01-12T21:47:53Z
v0.15.0,2022-12-22T17:51:36Z
v0.14.1,2022-11-30T20:34:46Z
v0.14.0,2022-11-07T00:31:43Z
v0.13.4,2022-09-27T22:43:19Z
v0.13.3,2022-09-26T12:58:31Z
v0.13.2,2022-08-24T06:20:31Z
v0.13.1,2022-08-10T23:26:49Z
v0.13.0,2022-07-14T11:16:57Z
v.0.12.1,2022-06-28T22:48:17Z
v0.12.0,2022-06-13T12:53:10Z
v0.11.4,2022-05-13T19:49:12Z
v0.11.3,2022-04-30T19:59:25Z
v0.11.2,2022-04-11T19:42:53Z
v0.11.1,2022-04-10T16:35:29Z
v0.11.0,2022-03-26T20:52:24Z
v0.10.1,2022-02-20T19:52:05Z
v0.10.0,2022-02-01T21:40:02Z
v0.9.0,2021-12-08T17:37:25Z
v0.8.1,2021-10-28T16:42:36Z
v0.8.0,2021-09-17T22:16:21Z
v0.7.0,2021-07-13T13:29:02Z
v0.6.1,2021-05-14T22:25:07Z
v0.6.0,2021-04-15T10:10:29Z
v0.5.3,2021-02-06T11:19:59Z
v0.5.2,2021-01-13T10:44:56Z
v0.5.1,2020-12-29T21:53:08Z
v0.5.0,2020-12-19T20:51:03Z
v0.4.3,2020-10-20T17:12:29Z
v0.4.2,2020-10-01T13:14:28Z
v0.4.1,2020-07-09T17:22:04Z
v0.4.0,2020-06-05T19:19:37Z
v0.3.1,2020-04-12T11:56:23Z
v0.3.0,2019-08-06T21:38:41Z
v0.2.0,2019-05-16T12:59:42Z
