Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
sktime,v0.2.0,2019-05-16,0,0,1,1,0,0,0,0,0,1
sktime,v0.3.0,2019-08-06,0,0,1,1,0,0,0,1,1,1
sktime,v0.3.1,2020-04-12,0,1,1,0,0,0,1,1,0,1
sktime,v0.4.0,2020-06-05,0,1,1,0,0,0,1,1,0,1
sktime,v0.4.1,2020-07-09,1,0,1,1,0,0,1,1,0,1
sktime,v0.4.2,2020-10-01,0,1,1,0,0,0,1,1,0,1
sktime,v0.4.3,2020-10-20,1,0,1,1,1,0,1,0,0,1
sktime,v0.5.0,2020-12-19,0,1,1,0,0,0,1,1,0,1
sktime,v0.5.1,2020-12-29,0,1,1,0,0,0,1,1,0,1
sktime,v0.5.2,2021-01-13,0,1,1,0,0,0,1,1,0,1
sktime,v0.5.3,2021-02-06,1,1,1,1,0,0,1,0,0,1
sktime,v0.6.0,2021-04-15,0,1,1,0,0,0,1,1,0,1
sktime,v0.6.1,2021-05-14,0,1,1,0,0,0,1,1,0,1
sktime,v0.7.0,2021-07-13,1,0,1,0,1,0,0,0,0,1
sktime,v0.8.0,2021-09-17,0,1,1,0,1,0,1,1,0,1
sktime,v0.8.1,2021-10-28,0,0,1,0,1,0,1,0,0,1
sktime,v0.9.0,2021-12-08,0,1,1,0,1,0,0,0,0,1
sktime,v0.10.0,2022-02-01,0,1,1,0,0,0,1,1,0,1
sktime,v0.10.1,2022-02-20,0,1,1,0,0,0,1,1,0,1
sktime,v0.11.0,2022-03-26,0,1,1,0,0,0,1,1,0,1
sktime,v0.11.1,2022-04-10,0,1,1,0,0,0,1,1,0,1
sktime,v0.11.2,2022-04-11,0,1,1,0,0,0,1,1,0,1
sktime,v0.11.3,2022-04-30,0,1,1,0,0,0,1,1,0,1
sktime,v0.11.4,2022-05-13,0,1,1,0,0,0,1,1,0,1
sktime,v0.12.0,2022-06-13,0,1,1,0,0,0,1,1,0,1
sktime,v.0.12.1,2022-06-28,0,1,1,0,0,0,1,1,0,1
sktime,v0.13.0,2022-07-14,0,1,1,0,0,0,1,1,0,1
sktime,v0.13.1,2022-08-10,0,1,1,0,0,0,1,1,0,1
sktime,v0.13.2,2022-08-24,0,1,1,0,0,0,1,1,0,1
sktime,v0.13.3,2022-09-26,0,1,1,0,0,0,1,1,0,1
sktime,v0.13.4,2022-09-27,0,1,1,0,0,0,1,1,0,1
sktime,v0.14.0,2022-11-07,0,1,1,0,0,0,1,1,0,1
sktime,v0.14.1,2022-11-30,0,1,1,0,0,0,1,1,0,1
sktime,v0.15.0,2022-12-22,0,1,1,0,0,0,1,1,0,1
sktime,v0.15.1,2023-01-12,0,1,1,0,0,0,1,1,0,1
sktime,v0.16.0,2023-01-30,0,1,1,0,0,0,1,1,0,1
sktime,v0.16.1,2023-02-14,0,0,1,0,0,0,1,0,0,1
sktime,v0.17.0,2023-04-03,0,1,1,0,0,0,1,1,0,1
sktime,v0.17.1,2023-04-10,0,1,1,0,0,0,1,1,0,1
sktime,v0.17.2,2023-04-24,0,1,1,0,0,0,1,1,0,1
sktime,v0.18.0,2023-04-28,0,1,1,0,0,0,1,1,0,1
sktime,v0.18.1,2023-05-27,0,1,1,0,0,0,1,1,0,1
sktime,v0.19.0,2023-05-31,0,1,1,0,0,0,1,1,0,1
sktime,v0.19.1,2023-05-31,0,1,1,0,0,0,1,1,0,1
sktime,v0.19.2,2023-06-21,0,1,1,0,0,0,1,1,0,1
sktime,v0.20.0,2023-06-24,0,1,1,0,0,0,1,1,0,1
sktime,v0.20.1,2023-07-15,0,1,1,0,0,0,1,1,0,1
sktime,v0.21.0,2023-07-20,0,1,1,0,0,0,1,1,0,1
sktime,v0.21.1,2023-08-17,0,1,1,0,0,0,1,1,0,1
sktime,v0.22.0,2023-08-18,0,1,1,0,0,0,1,1,0,1
sktime,v0.22.1,2023-09-17,0,1,1,0,0,0,1,1,0,1
