Release,Published_at
v2.9.2,2025-03-26T07:25:59Z
v2.9.1,2025-02-11T13:29:09Z
v2.9.0,2024-12-24T09:15:40Z
v2.8.1,2024-12-06T09:53:03Z
v2.8.0,2024-11-08T09:07:54Z
v2.7.0,2024-09-23T12:49:34Z
v2.6.3,2024-07-09T18:18:01Z
v2.6.2,2024-06-25T15:06:37Z
v2.6.1,2024-05-28T14:43:46Z
v2.6.0,2024-05-16T15:49:14Z
v2.5.1,2024-04-17T15:06:51Z
v2.5.0,2024-03-19T07:58:00Z
v2.4.0,2024-02-21T08:15:38Z
v2.3.0,2023-12-22T09:52:06Z
v2.2.1,2023-11-24T16:27:03Z
v2.2.0,2023-11-21T09:44:09Z
v2.1.0,2023-10-30T10:17:56Z
v2.0.1,2023-08-31T16:37:52Z
v2.0.0,2023-06-27T07:59:32Z
2.0b3,2023-05-17T09:38:15Z
2.0b2,2023-04-13T14:47:29Z
2.0b1,2023-03-02T15:14:12Z
v1.3.0,2022-08-22T08:16:57Z
v1.2.0,2022-03-25T10:17:39Z
v1.1.0,2021-10-21T13:03:41Z
v1.0.0,2021-04-22T10:44:23Z
v0.9.0,2021-03-01T21:36:26Z
v0.8.0,2021-01-18T08:52:43Z
v0.7.1,2020-12-14T15:58:56Z
v0.7.0,2020-11-20T10:48:32Z
v0.6.0,2020-09-22T08:37:13Z
v0.5.3,2020-06-08T14:56:18Z
v0.5.2,2020-06-03T16:37:29Z
v0.5.1,2020-06-03T11:44:46Z
v0.5.0,2020-05-11T10:04:18Z
v0.4.3,2020-03-24T13:20:53Z
v0.4.2,2020-02-21T08:48:26Z
v0.4.1,2020-01-20T17:24:56Z
v0.4.0,2019-11-25T09:50:03Z
v0.3.4,2019-07-11T21:30:48Z
v0.3.3,2019-06-28T12:16:59Z
v0.3.2,2019-05-21T06:43:42Z
v0.3.1,2019-05-19T10:16:23Z
v0.3.0,2019-04-13T15:28:44Z
v0.2.2,2018-11-03T08:24:10Z
v0.2.1,2018-09-05T12:58:00Z
v0.2,2018-01-31T22:14:49Z
