Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
smt,v0.2,2018-01-31,1,0,1,1,0,0,0,1,0,1
smt,v0.2.1,2018-09-05,0,1,1,0,0,0,1,1,0,1
smt,v0.2.2,2018-11-03,0,1,1,0,0,0,1,1,0,1
smt,v0.3.0,2019-04-13,0,1,1,0,0,0,0,1,0,1
smt,v0.3.1,2019-05-19,0,1,1,0,0,0,1,1,0,1
smt,v0.3.2,2019-05-21,0,1,1,0,0,0,1,1,0,1
smt,v0.3.3,2019-06-28,0,1,1,0,0,0,0,1,0,1
smt,v0.3.4,2019-07-11,0,1,1,1,0,0,1,1,0,1
smt,v0.4.0,2019-11-25,0,1,1,1,0,0,1,1,0,1
smt,v0.4.1,2020-01-20,0,1,1,0,0,0,1,1,0,1
smt,v0.4.2,2020-02-21,0,1,1,0,0,0,1,1,0,1
smt,v0.4.3,2020-03-24,0,1,1,0,0,0,1,1,0,1
smt,v0.5.0,2020-05-11,0,1,1,0,0,0,1,1,0,1
smt,v0.5.1,2020-06-03,0,1,1,0,0,0,1,1,0,1
smt,v0.5.2,2020-06-03,0,1,1,0,0,0,1,1,0,1
smt,v0.5.3,2020-06-08,0,1,1,0,0,0,1,1,0,1
smt,v0.6.0,2020-09-22,0,1,1,0,0,0,1,1,0,1
smt,v0.7.0,2020-11-20,0,1,1,0,0,0,1,1,0,1
smt,v0.7.1,2020-12-14,0,1,1,0,0,0,1,1,0,1
smt,v0.8.0,2021-01-18,0,1,1,0,0,0,1,1,0,1
smt,v0.9.0,2021-03-01,0,1,1,0,0,0,1,1,0,1
smt,v1.0.0,2021-04-22,0,1,1,1,0,0,1,1,0,1
smt,v1.1.0,2021-10-21,0,1,1,0,0,0,1,1,0,1
smt,v1.2.0,2022-03-25,0,1,1,1,0,0,1,1,0,1
smt,v1.3.0,2022-08-22,0,1,1,1,0,0,1,1,0,1
smt,2.0b1,2023-03-02,0,1,1,0,0,0,1,1,0,1
smt,2.0b2,2023-04-13,0,1,1,1,0,0,1,1,0,1
smt,2.0b3,2023-05-17,0,1,1,0,0,0,1,1,0,1
smt,v2.0.0,2023-06-27,0,1,1,1,0,0,1,1,0,1
smt,v2.0.1,2023-08-31,0,1,1,0,0,0,1,1,0,1
smt,v2.1.0,2023-10-30,0,1,1,0,0,0,1,1,0,1
smt,v2.2.0,2023-11-21,0,1,1,0,0,0,0,1,0,1
smt,v2.2.1,2023-11-24,0,1,1,0,0,0,1,1,0,1
smt,v2.3.0,2023-12-22,0,1,1,1,0,0,1,1,0,1
smt,v2.4.0,2024-02-21,0,1,1,0,0,0,1,1,0,1
smt,v2.5.0,2024-03-19,0,1,1,0,0,0,1,1,0,1
smt,v2.5.1,2024-04-17,0,1,1,0,0,0,1,1,0,1
smt,v2.6.0,2024-05-16,0,1,1,0,0,0,1,1,0,1
smt,v2.6.1,2024-05-28,0,1,1,0,0,0,1,1,0,1
smt,v2.6.2,2024-06-25,0,1,1,0,0,0,1,1,0,1
smt,v2.6.3,2024-07-09,1,1,1,1,0,0,1,1,0,1
smt,v2.7.0,2024-09-23,0,1,1,0,0,0,1,1,0,1
smt,v2.8.0,2024-11-08,0,1,1,0,0,0,1,1,0,1
smt,v2.8.1,2024-12-06,0,1,1,0,0,0,1,1,0,1
smt,v2.9.0,2024-12-24,0,1,1,0,0,0,1,1,0,1
smt,v2.9.1,2025-02-11,0,1,1,1,0,0,1,1,0,1
