Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
snorkel,v0.4,2017-01-13,0,1,1,0,0,0,1,1,0,1
snorkel,v0.5,2017-01-18,0,1,1,1,0,0,0,0,1,1
snorkel,v0.6.2,2017-07-15,0,0,1,1,0,0,0,1,0,1
snorkel,v0.6.3,2018-05-03,1,0,1,1,0,0,1,1,0,1
snorkel,v0.7.0-beta,2018-06-27,0,1,1,1,0,1,0,0,0,1
snorkel,v0.9.0,2019-08-15,0,1,1,0,0,0,1,1,0,1
snorkel,v0.9.1,2019-09-06,0,1,1,0,0,0,1,1,0,1
snorkel,v0.9.2,2019-10-23,0,1,1,0,0,0,1,1,0,1
snorkel,v0.9.3,2019-11-12,0,1,1,0,0,0,1,1,0,1
snorkel,v0.9.4,2020-04-05,0,1,1,0,0,0,0,1,0,1
snorkel,v0.9.5,2020-04-07,0,1,1,0,0,0,1,1,0,1
snorkel,v0.9.6,2020-08-09,1,1,1,0,0,1,1,1,0,1
snorkel,v0.9.7,2021-03-09,1,1,1,0,1,1,0,1,0,1
snorkel,v0.9.8,2021-11-19,1,1,1,1,0,0,1,1,0,1
snorkel,v0.9.9,2022-07-29,1,1,1,0,0,1,0,1,0,1
