Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
sockeye,1.2,2017-10-10,0,1,1,0,0,0,1,1,0,1
sockeye,1.7,2017-10-10,0,1,1,0,0,0,1,1,0,1
sockeye,1.8.0,2017-10-10,0,1,1,0,0,0,1,1,0,1
sockeye,1.10.1,2017-11-02,0,1,1,0,0,0,1,1,0,1
sockeye,1.10.3,2017-11-07,0,1,1,0,0,0,0,1,0,1
sockeye,1.10.5,2017-11-08,0,1,1,0,0,0,1,1,0,1
sockeye,1.13.0,2017-11-21,0,1,1,0,0,0,1,1,0,1
sockeye,1.15.6,2017-12-18,0,1,1,0,0,0,1,1,0,1
sockeye,1.15.7,2017-12-19,0,1,1,0,0,0,1,1,0,1
sockeye,1.15.8,2017-12-19,0,1,1,0,0,0,1,1,0,1
sockeye,1.17.0,2018-02-19,0,1,1,0,0,0,1,1,0,1
sockeye,1.17.4,2018-03-09,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.1,2018-04-10,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.5,2018-04-23,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.6,2018-04-25,0,1,1,0,0,0,0,1,0,1
sockeye,1.18.8,2018-05-04,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.9,2018-05-07,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.10,2018-05-08,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.13,2018-05-19,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.15,2018-05-23,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.17,2018-05-24,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.20,2018-05-27,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.21,2018-06-04,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.22,2018-06-12,0,1,1,0,0,0,0,1,0,1
sockeye,1.18.23,2018-06-13,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.28,2018-06-27,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.35,2018-07-12,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.41,2018-07-27,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.47,2018-08-17,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.54,2018-09-16,0,1,1,0,0,0,0,1,0,1
sockeye,1.18.56,2018-09-20,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.57,2018-10-26,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.61,2018-11-29,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.67,2018-12-21,1,1,1,0,0,1,1,1,0,1
sockeye,1.18.72,2019-01-28,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.78,2019-02-24,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.85,2019-03-15,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.92,2019-04-16,0,1,1,0,0,0,1,1,0,1
sockeye,1.18.97,2019-05-07,0,1,1,1,0,0,1,1,0,1
sockeye,1.18.106,2019-08-18,1,1,1,1,1,0,1,1,0,1
sockeye,1.18.115,2020-06-03,0,1,1,0,0,0,1,1,0,1
sockeye,2.1.7,2020-06-03,0,1,1,0,0,0,1,1,0,1
sockeye,2.1.10,2020-06-23,0,1,1,0,0,0,1,1,0,1
sockeye,2.1.13,2020-07-07,0,1,1,0,0,0,1,1,0,1
sockeye,2.1.17,2020-08-20,0,1,1,0,0,0,1,1,0,1
sockeye,2.1.21,2020-08-27,0,1,1,1,0,0,1,1,0,1
sockeye,2.2.0,2020-10-04,0,1,1,0,0,0,1,1,0,1
sockeye,2.2.8,2020-11-05,0,1,1,0,0,0,1,1,0,1
sockeye,2.3.2,2020-11-18,0,1,1,0,0,0,1,1,0,1
sockeye,2.3.8,2021-01-08,0,1,1,0,0,0,1,1,0,1
sockeye,2.3.10,2021-02-08,0,1,1,0,0,0,1,1,0,1
sockeye,2.3.14,2021-04-07,0,1,1,0,0,0,1,1,0,1
sockeye,2.3.17,2021-06-17,1,1,1,1,0,0,1,1,0,1
sockeye,2.3.22,2021-09-30,0,1,1,0,0,0,1,1,0,1
sockeye,2.3.24,2021-11-05,0,1,1,0,0,0,1,1,0,1
sockeye,3.0.0,2021-11-30,0,1,1,0,0,0,1,1,0,1
sockeye,3.0.4,2021-12-13,0,1,1,0,0,0,1,1,0,1
sockeye,3.0.7,2021-12-20,0,1,1,0,0,0,0,1,0,1
sockeye,3.0.10,2022-01-19,0,1,1,0,0,0,1,1,0,1
sockeye,3.0.13,2022-02-03,0,1,1,0,0,0,0,1,0,1
sockeye,3.0.15,2022-02-09,0,1,1,0,0,0,0,1,0,1
sockeye,3.1.0,2022-02-11,0,1,1,0,0,0,1,1,0,1
sockeye,3.1.4,2022-03-10,0,1,1,0,0,0,1,1,0,1
sockeye,3.1.7,2022-03-23,0,1,1,0,0,0,1,1,0,1
sockeye,3.1.9,2022-04-11,0,1,1,0,0,0,0,1,0,1
sockeye,3.1.10,2022-04-12,0,1,1,0,0,0,1,1,0,1
sockeye,3.1.12,2022-04-26,0,1,1,0,0,0,1,1,0,1
sockeye,3.1.14,2022-05-05,1,1,1,1,0,1,1,1,0,1
sockeye,3.1.27,2022-11-06,1,1,1,1,0,1,1,1,0,1
sockeye,3.1.29,2022-12-12,0,1,1,0,0,0,0,1,0,1
sockeye,3.1.31,2023-02-01,0,1,1,0,0,0,0,1,0,1
sockeye,3.1.33,2023-03-01,0,1,1,0,0,0,1,1,0,1
