Release,Published_at
release-v3.8.3,2024-12-11T13:11:38Z
release-v3.8.2,2024-10-01T18:19:33Z
prerelease-v3.8.0.dev0,2024-09-09T14:19:15Z
prerelease-v3.7.6a,2024-08-20T10:09:49Z
v3.7.5,2024-06-05T07:57:36Z
v3.7.4,2024-02-15T19:16:59Z
v3.7.2,2023-10-16T16:11:22Z
v3.7.1,2023-10-05T06:46:15Z
v3.7.0,2023-10-02T09:10:08Z
v3.6.1,2023-08-08T14:45:58Z
v3.6.0,2023-07-07T08:32:23Z
v3.5.4,2023-06-28T16:17:49Z
v3.3.3,2023-05-25T08:37:28Z
v3.2.6,2023-05-25T11:16:21Z
v3.5.3,2023-05-15T09:59:21Z
v3.5.2,2023-04-12T07:50:01Z
v3.5.1,2023-03-10T09:02:56Z
v3.5.0,2023-01-20T09:56:12Z
v3.0.9,2022-12-16T07:53:08Z
v2.3.9,2022-12-16T07:55:55Z
v3.4.4,2022-12-14T15:06:25Z
v3.3.2,2022-12-16T07:43:10Z
v3.2.5,2022-12-16T07:46:37Z
v3.1.7,2022-12-16T07:49:59Z
v3.4.3,2022-11-10T13:42:15Z
v3.4.2,2022-10-20T08:13:43Z
v2.3.8,2022-10-19T08:08:20Z
v3.4.1,2022-07-26T13:08:23Z
v3.4.0,2022-07-12T06:16:11Z
v3.3.1,2022-06-07T17:23:29Z
v3.3.0,2022-04-29T07:49:22Z
v3.1.6,2022-03-30T14:15:37Z
v3.2.4,2022-03-29T18:34:37Z
v3.2.3,2022-03-01T12:13:12Z
v3.1.5,2022-03-01T12:13:06Z
v3.0.8,2022-03-01T12:12:52Z
v3.2.2,2022-02-11T13:12:29Z
v3.2.1,2021-12-07T16:30:56Z
v3.2.0,2021-11-05T15:54:48Z
v3.1.4,2021-10-29T14:14:33Z
v3.1.3,2021-09-20T12:06:22Z
v3.1.2,2021-08-20T13:13:45Z
v3.0.7,2021-07-23T08:37:31Z
v3.1.1,2021-07-20T08:40:59Z
v3.1.0,2021-07-07T14:34:37Z
v2.3.7,2021-06-04T18:56:37Z
v2.3.6,2021-05-18T06:23:32Z
v3.0.6,2021-04-23T12:15:57Z
v3.0.5,2021-03-10T11:32:29Z
v3.0.4,2021-03-10T01:22:06Z
v3.0.3,2021-02-14T04:43:34Z
v3.0.2,2021-02-14T01:50:31Z
v3.0.1,2021-02-02T10:55:06Z
v3.0.0,2021-02-01T13:41:39Z
v3.0.0rc3,2021-01-19T08:35:56Z
v2.3.5,2020-12-11T14:44:41Z
v2.3.4,2020-11-26T00:36:53Z
v2.3.3,2020-11-24T17:42:05Z
v3.0.0rc1,2020-10-15T15:35:52Z
v2.3.2,2020-07-13T16:09:26Z
v2.3.1,2020-07-07T17:08:05Z
v2.3.0,2020-06-16T14:25:22Z
v2.2.4,2020-03-12T13:40:56Z
v2.2.3,2019-11-21T18:21:03Z
v2.2.2,2019-10-31T16:34:36Z
v2.1.9,2019-10-28T16:22:20Z
v2.2.1,2019-10-03T14:22:47Z
