Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
spaCy,v1.0.0,2016-10-19,0,1,1,0,0,0,1,1,0,1
spaCy,v1.1.0,2016-10-23,0,1,1,0,0,0,1,1,0,1
spaCy,v1.2.0,2016-11-05,0,1,1,0,0,0,1,1,0,1
spaCy,v1.3.0,2016-12-03,0,1,1,0,0,0,1,1,0,1
spaCy,v1.4.0,2016-12-18,0,1,1,0,0,0,1,1,0,1
spaCy,v1.5.0,2016-12-27,0,1,1,0,0,0,1,1,1,1
spaCy,v1.6.0,2017-01-16,0,0,1,0,1,0,0,1,0,1
spaCy,v1.7.0,2017-03-18,0,1,1,0,0,0,1,1,0,1
spaCy,v1.7.1,2017-03-19,0,1,1,0,0,0,1,1,0,1
spaCy,v1.7.2,2017-03-20,0,1,1,0,0,0,1,1,0,1
spaCy,v1.7.3,2017-03-26,0,1,1,0,0,0,1,1,0,1
spaCy,v1.7.5,2017-04-07,0,1,1,0,0,0,1,1,1,1
spaCy,v1.8.0,2017-04-16,0,1,1,0,0,0,1,1,0,1
spaCy,v1.8.1,2017-04-23,0,1,1,0,0,0,1,1,0,1
spaCy,v1.8.2,2017-04-26,0,1,1,0,0,0,1,1,1,1
spaCy,v2.0.0-alpha,2017-06-05,0,0,1,0,1,0,0,1,0,1
spaCy,v1.9.0,2017-07-22,0,0,1,1,1,0,0,1,1,1
spaCy,v1.10.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.1,2017-11-08,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.2,2017-11-08,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.3,2017-11-15,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.4,2017-12-06,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.5,2017-12-07,0,0,1,0,1,0,0,1,0,1
spaCy,v2.0.6,2018-02-01,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.7,2018-02-02,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.8,2018-02-18,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.9,2018-02-22,0,1,1,0,0,0,1,1,0,1
spaCy,v1.10.1,2018-03-23,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.10,2018-03-24,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.11,2018-04-04,0,0,1,1,1,0,0,1,0,1
spaCy,v2.1.0a0,2018-07-21,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.12,2018-07-21,0,1,1,0,0,0,1,1,0,1
spaCy,v2.1.0a1,2018-08-16,1,0,1,0,1,0,0,1,0,1
spaCy,v2.0.13,2018-10-13,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.15,2018-10-15,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.16,2018-10-15,0,1,1,0,0,0,1,1,0,1
spaCy,v2.0.17,2018-11-26,0,1,1,0,0,0,1,1,0,1
spaCy,v2.1.0a3,2018-11-28,0,1,1,0,0,0,1,1,0,1
