Release,Published_at
zh_core_web_trf-3.8.0,2024-09-30T09:59:55Z
zh_core_web_sm-3.8.0,2024-09-30T09:59:56Z
zh_core_web_md-3.8.0,2024-09-30T09:59:57Z
zh_core_web_lg-3.8.0,2024-09-30T09:59:57Z
xx_sent_ud_sm-3.8.0,2024-09-30T09:59:58Z
xx_ent_wiki_sm-3.8.0,2024-09-30T09:59:59Z
uk_core_news_trf-3.8.0,2024-09-30T10:00:00Z
uk_core_news_sm-3.8.0,2024-09-30T10:00:01Z
uk_core_news_md-3.8.0,2024-09-30T10:00:02Z
uk_core_news_lg-3.8.0,2024-09-30T10:00:03Z
sv_core_news_sm-3.8.0,2024-09-30T10:00:03Z
sv_core_news_md-3.8.0,2024-09-30T10:00:04Z
sv_core_news_lg-3.8.0,2024-09-30T10:00:05Z
sl_core_news_trf-3.8.0,2024-09-30T10:00:06Z
sl_core_news_sm-3.8.0,2024-09-30T10:00:07Z
sl_core_news_md-3.8.0,2024-09-30T10:00:08Z
sl_core_news_lg-3.8.0,2024-09-30T10:00:09Z
ru_core_news_sm-3.8.0,2024-09-30T10:00:10Z
ru_core_news_md-3.8.0,2024-09-30T10:00:11Z
ru_core_news_lg-3.8.0,2024-09-30T10:00:12Z
ro_core_news_sm-3.8.0,2024-09-30T10:00:13Z
ro_core_news_md-3.8.0,2024-09-30T10:00:14Z
ro_core_news_lg-3.8.0,2024-09-30T10:00:15Z
pt_core_news_sm-3.8.0,2024-09-30T10:00:16Z
pt_core_news_md-3.8.0,2024-09-30T10:00:16Z
pt_core_news_lg-3.8.0,2024-09-30T10:00:17Z
pl_core_news_sm-3.8.0,2024-09-30T10:00:18Z
pl_core_news_md-3.8.0,2024-09-30T10:00:19Z
pl_core_news_lg-3.8.0,2024-09-30T10:00:20Z
nl_core_news_sm-3.8.0,2024-09-30T10:00:20Z
nl_core_news_md-3.8.0,2024-09-30T10:00:21Z
nl_core_news_lg-3.8.0,2024-09-30T10:00:22Z
nb_core_news_sm-3.8.0,2024-09-30T10:00:23Z
nb_core_news_md-3.8.0,2024-09-30T10:00:23Z
nb_core_news_lg-3.8.0,2024-09-30T10:00:24Z
mk_core_news_sm-3.8.0,2024-09-30T10:00:25Z
mk_core_news_md-3.8.0,2024-09-30T10:00:26Z
mk_core_news_lg-3.8.0,2024-09-30T10:00:26Z
lt_core_news_sm-3.8.0,2024-09-30T10:00:27Z
lt_core_news_md-3.8.0,2024-09-30T10:00:28Z
lt_core_news_lg-3.8.0,2024-09-30T10:00:29Z
ko_core_news_sm-3.8.0,2024-09-30T10:00:30Z
ko_core_news_md-3.8.0,2024-09-30T10:00:31Z
ko_core_news_lg-3.8.0,2024-09-30T10:00:32Z
ja_core_news_trf-3.8.0,2024-09-30T10:00:32Z
ja_core_news_sm-3.8.0,2024-09-30T10:00:33Z
ja_core_news_md-3.8.0,2024-09-30T10:00:34Z
ja_core_news_lg-3.8.0,2024-09-30T10:00:34Z
it_core_news_sm-3.8.0,2024-09-30T10:00:35Z
it_core_news_md-3.8.0,2024-09-30T10:00:36Z
it_core_news_lg-3.8.0,2024-09-30T10:00:37Z
hr_core_news_sm-3.8.0,2024-09-30T10:00:37Z
hr_core_news_md-3.8.0,2024-09-30T10:00:38Z
hr_core_news_lg-3.8.0,2024-09-30T10:00:39Z
fr_dep_news_trf-3.8.0,2024-09-30T10:00:40Z
fr_core_news_sm-3.8.0,2024-09-30T10:00:41Z
fr_core_news_md-3.8.0,2024-09-30T10:00:42Z
fr_core_news_lg-3.8.0,2024-09-30T10:00:43Z
fi_core_news_sm-3.8.0,2024-09-30T10:00:44Z
fi_core_news_md-3.8.0,2024-09-30T10:00:44Z
fi_core_news_lg-3.8.0,2024-09-30T10:00:45Z
es_dep_news_trf-3.8.0,2024-09-30T10:00:46Z
es_core_news_sm-3.8.0,2024-09-30T10:00:47Z
es_core_news_md-3.8.0,2024-09-30T10:00:47Z
es_core_news_lg-3.8.0,2024-09-30T10:00:48Z
en_core_web_trf-3.8.0,2024-09-30T10:00:49Z
en_core_web_sm-3.8.0,2024-09-30T10:00:50Z
en_core_web_md-3.8.0,2024-09-30T10:00:51Z
en_core_web_lg-3.8.0,2024-09-30T10:00:51Z
el_core_news_sm-3.8.0,2024-09-30T10:00:52Z
el_core_news_md-3.8.0,2024-09-30T10:00:53Z
el_core_news_lg-3.8.0,2024-09-30T10:00:53Z
de_dep_news_trf-3.8.0,2024-09-30T10:00:55Z
de_core_news_sm-3.8.0,2024-09-30T10:00:56Z
de_core_news_md-3.8.0,2024-09-30T10:00:57Z
de_core_news_lg-3.8.0,2024-09-30T10:00:58Z
da_core_news_trf-3.8.0,2024-09-30T10:00:59Z
da_core_news_sm-3.8.0,2024-09-30T10:01:00Z
da_core_news_md-3.8.0,2024-09-30T10:01:00Z
da_core_news_lg-3.8.0,2024-09-30T10:01:01Z
ca_core_news_trf-3.8.0,2024-09-30T10:01:02Z
ca_core_news_sm-3.8.0,2024-09-30T10:01:03Z
ca_core_news_md-3.8.0,2024-09-30T10:01:03Z
ca_core_news_lg-3.8.0,2024-09-30T10:01:04Z
en_core_web_trf-3.7.3,2023-11-17T08:13:54Z
en_core_web_sm-3.7.1,2023-11-17T08:13:35Z
en_core_web_md-3.7.1,2023-11-17T08:13:36Z
en_core_web_lg-3.7.1,2023-11-17T08:13:37Z
zh_core_web_trf-3.7.2,2023-10-01T09:30:52Z
zh_core_web_sm-3.7.0,2023-10-01T08:58:47Z
zh_core_web_md-3.7.0,2023-10-01T08:58:48Z
zh_core_web_lg-3.7.0,2023-10-01T08:58:49Z
xx_sent_ud_sm-3.7.0,2023-10-01T08:58:49Z
xx_ent_wiki_sm-3.7.0,2023-10-01T08:58:50Z
uk_core_news_trf-3.7.2,2023-10-01T09:30:53Z
