Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
spacy-models,en_core_web_md-1.2.0,2017-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-1.2.0,2017-06-05,0,1,1,0,0,0,1,1,0,1
spacy-models,en_vectors_glove_md-1.0.0,2017-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-1.0.0,2017-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,en_depent_web_md-1.2.0,2017-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-1.2.1,2017-06-05,0,1,1,0,0,0,1,1,0,1
spacy-models,en_depent_web_md-1.2.1,2017-03-21,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_depvec_web_lg-1.0.0,2017-04-26,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.0.0-alpha,2017-06-05,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.0.0-alpha,2017-06-05,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_web_md-1.0.0,2017-06-06,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.0.0-alpha1,2017-08-23,0,1,1,0,0,0,0,1,0,1
spacy-models,en_vectors_web_lg-2.0.0-alpha,2017-08-23,0,1,1,0,0,0,0,1,0,1
spacy-models,en_core_web_sm-2.0.0-alpha2,2017-08-26,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.0.0-alpha3,2017-09-06,0,1,1,0,0,0,0,1,0,1
spacy-models,en_core_web_sm-2.0.0-alpha4,2017-09-19,0,1,1,0,0,0,1,1,0,1
spacy-models,de_dep_news_sm-2.0.0a0,2017-10-03,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.0.0a0,2017-10-03,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.0.0a5,2017-10-03,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_web_sm-2.0.0a0,2017-10-03,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.0.0a1,2017-10-03,0,1,1,0,0,0,1,1,0,1
spacy-models,de_dep_news_sm-2.0.0a1,2017-10-10,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.0.0a1,2017-10-10,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.0.0a6,2017-10-10,0,1,1,0,0,0,1,1,0,1
spacy-models,de_dep_news_sm-2.0.0a2,2017-10-12,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.0.0a2,2017-10-12,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.0.0a7,2017-10-12,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_web_sm-2.0.0a1,2017-10-12,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.0.0a2,2017-10-13,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.0.0a0,2017-11-03,0,1,1,0,0,0,0,1,0,1
spacy-models,en_core_web_lg-2.0.0a3,2017-11-03,0,1,1,0,0,0,0,1,0,1
spacy-models,en_core_web_sm-2.0.0a8,2017-11-03,0,1,1,0,0,0,0,1,0,1
spacy-models,es_core_news_md-2.0.0a0,2017-11-03,0,1,1,0,0,0,0,1,0,1
spacy-models,es_core_news_sm-2.0.0a0,2017-11-03,0,1,1,0,0,0,0,1,0,1
spacy-models,it_core_news_sm-2.0.0a0,2017-11-03,0,1,1,0,0,0,0,1,0,1
spacy-models,fr_core_news_sm-2.0.0a0,2017-11-04,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.0.0a3,2017-11-04,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.0.0a1,2017-11-05,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.0.0a1,2017-11-06,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.0.0a0,2017-11-06,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.0.0a0,2017-11-06,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.0.0a0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.0.0a2,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,en_vectors_web_lg-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.0.0,2017-11-07,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.0.0a0,2017-11-08,1,0,1,1,0,0,0,1,0,1
spacy-models,en_core_web_md-2.0.0,2017-11-08,1,0,1,1,0,0,0,1,0,1
spacy-models,de_core_news_md-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.1.0a0,2018-07-10,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.1.0a0,2018-08-15,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.1.0a0,2018-08-15,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.1.0a4,2018-11-28,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.1.0a5,2018-12-18,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.1.0a6,2019-01-21,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.1.0a7,2019-02-09,0,1,1,0,0,0,1,1,0,1
spacy-models,en_vectors_web_lg-2.1.0a0,2019-02-13,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.1.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
spacy-models,en_vectors_web_lg-2.1.0,2019-03-26,1,1,1,1,0,0,1,1,0,1
spacy-models,de_pytt_bertbasecased_lg-2.1.0,2019-08-02,0,1,1,0,0,0,0,1,0,1
spacy-models,de_pytt_bertbasecased_lg-2.1.1,2019-08-06,0,1,1,0,0,0,1,1,0,1
spacy-models,en_pytt_bertbaseuncased_lg-2.1.0,2019-08-02,0,1,1,0,0,0,0,1,0,1
spacy-models,en_pytt_bertbaseuncased_lg-2.1.1,2019-08-06,0,1,1,0,0,0,1,1,0,1
spacy-models,en_pytt_xlnetbasecased_lg-2.1.0,2019-08-02,0,1,1,0,0,0,0,1,0,1
spacy-models,en_pytt_xlnetbasecased_lg-2.1.1,2019-08-06,0,1,1,0,0,0,1,1,0,1
spacy-models,en_pytt_robertabase_lg-2.1.0,2019-08-27,0,1,1,0,0,0,0,1,0,1
spacy-models,en_pytt_distilbertbaseuncased_lg-2.1.0,2019-09-04,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_md-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,fr_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,it_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,lt_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,nb_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,pt_core_news_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,xx_ent_wiki_sm-2.2.0,2019-09-27,0,1,1,0,0,0,1,1,0,1
spacy-models,nl_core_news_sm-2.2.1,2019-10-03,0,1,1,0,0,0,1,1,0,1
spacy-models,de_trf_bertbasecased_lg-2.2.0,2019-10-08,0,1,1,0,0,0,1,1,0,1
spacy-models,en_trf_bertbaseuncased_lg-2.2.0,2019-10-08,0,1,1,0,0,0,1,1,0,1
spacy-models,en_trf_distilbertbaseuncased_lg-2.2.0,2019-10-08,0,1,1,0,0,0,1,1,0,1
spacy-models,en_trf_robertabase_lg-2.2.0,2019-10-08,0,1,1,0,0,0,1,1,0,1
spacy-models,en_trf_xlnetbasecased_lg-2.2.0,2019-10-08,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.2.2,2019-10-21,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.2.2,2019-10-21,0,1,1,0,0,0,1,1,0,1
spacy-models,lt_core_news_sm-2.2.2,2019-10-21,0,1,1,0,0,0,1,1,0,1
spacy-models,nb_core_news_sm-2.2.2,2019-10-21,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.2.1,2019-10-29,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.2.3,2019-10-29,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.2.3,2019-10-29,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.2.1,2019-10-31,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_md-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
spacy-models,de_core_news_sm-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_md-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
spacy-models,el_core_news_sm-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_lg-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_md-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
spacy-models,en_core_web_sm-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
spacy-models,es_core_news_md-2.2.5,2019-11-16,0,1,1,0,0,0,1,1,0,1
