Release,Published_at
5.5.3,2025-01-30T16:15:18Z
5.5.2,2024-12-18T17:20:39Z
5.5.1,2024-10-24T21:17:35Z
5.5.0,2024-09-25T20:20:27Z
5.4.2,2024-08-29T12:23:33Z
5.4.1,2024-07-14T19:18:29Z
5.4.0,2024-07-01T18:46:41Z
5.3.3,2024-04-05T17:44:10Z
5.3.2,2024-03-20T21:47:17Z
5.3.1,2024-03-04T12:45:06Z
5.3.0,2024-02-27T13:48:42Z
5.2.3,2024-01-18T22:07:14Z
5.2.2,2024-01-01T18:58:43Z
5.2.1,2023-12-28T15:29:24Z
5.2.0,2023-12-08T22:05:28Z
5.1.4,2023-10-26T20:10:39Z
5.1.3,2023-10-10T20:26:17Z
5.1.2,2023-09-26T07:46:57Z
5.1.1,2023-09-11T22:24:56Z
5.1.0,2023-08-28T15:04:14Z
5.0.2,2023-08-02T20:10:07Z
5.0.1,2023-07-18T20:18:38Z
5.0.0,2023-07-03T20:54:13Z
4.4.4,2023-06-09T04:28:10Z
4.4.3,2023-05-26T12:13:43Z
4.4.2,2023-05-10T20:30:24Z
4.4.1,2023-04-25T18:22:45Z
4.4.0,2023-04-11T07:15:13Z
4.3.2,2023-03-14T19:54:57Z
4.3.1,2023-02-24T18:36:05Z
4.3.0,2023-02-09T19:45:24Z
4.2.8,2023-01-24T18:22:34Z
4.2.7,2023-01-12T16:46:00Z
4.2.6,2022-12-21T09:54:42Z
4.2.5,2022-12-16T09:03:07Z
4.2.4,2022-11-28T19:01:38Z
4.2.1,2022-11-28T18:14:49Z
4.2.3,2022-11-10T20:17:50Z
4.2.2,2022-10-27T18:07:26Z
4.2.0,2022-09-27T14:29:46Z
4.1.0,2022-08-24T15:35:49Z
4.0.2,2022-07-19T17:19:23Z
4.0.1,2022-07-01T15:19:56Z
4.0.0,2022-06-15T17:38:52Z
3.4.4,2022-05-06T13:49:06Z
3.4.3,2022-04-12T20:08:39Z
3.4.2,2022-03-10T15:33:22Z
3.4.1,2022-02-08T18:05:14Z
3.4.0,2022-01-05T15:25:57Z
3.3.4,2021-11-25T15:16:53Z
3.3.3,2021-11-22T18:37:19Z
3.3.2,2021-11-03T15:35:28Z
3.3.1,2021-10-18T11:18:16Z
3.3.0,2021-09-29T15:04:19Z
3.2.3,2021-09-15T09:53:31Z
3.2.2,2021-09-01T15:27:20Z
3.2.1,2021-08-11T20:23:01Z
3.2.0,2021-08-10T14:35:09Z
3.1.3,2021-07-20T15:38:10Z
3.1.2,2021-07-07T15:41:30Z
3.1.1,2021-06-23T15:02:45Z
3.1.0,2021-06-07T15:23:25Z
3.0.3,2021-05-06T15:26:13Z
3.0.2,2021-04-21T14:13:37Z
3.0.1,2021-04-02T15:27:53Z
3.0.0,2021-03-22T15:44:07Z
2.7.5,2021-03-05T19:30:21Z
2.7.4,2021-02-19T18:42:10Z
2.7.3,2021-02-05T19:03:56Z
2.7.2,2021-01-25T13:57:52Z
2.7.1,2021-01-08T22:59:02Z
2.7.0,2021-01-04T18:53:37Z
2.6.5,2020-12-15T17:22:19Z
2.6.4,2020-11-24T23:03:09Z
2.6.3,2020-10-28T14:32:22Z
2.6.2,2020-10-01T19:17:30Z
2.6.1,2020-09-11T14:43:34Z
2.6.0,2020-09-02T17:02:32Z
2.5.5,2020-08-04T13:44:51Z
3.0.0-rc8,2021-03-16T17:38:16Z
2.5.4,2020-07-20T14:47:35Z
2.5.3,2020-07-03T18:57:09Z
2.5.2,2020-06-11T23:18:47Z
2.5.1,2020-05-26T15:29:16Z
2.5.0,2020-05-10T22:15:44Z
2.4.5,2020-04-02T16:27:06Z
2.4.4,2020-03-16T17:31:46Z
2.4.3,2020-03-09T11:29:03Z
2.4.2,2020-03-04T11:10:39Z
2.4.1,2020-02-17T22:50:53Z
2.4.0,2020-02-03T11:33:22Z
2.3.6,2020-01-17T10:14:47Z
2.3.5,2019-12-21T12:10:10Z
2.3.4,2019-11-27T22:27:35Z
2.3.3,2019-11-21T11:58:34Z
2.3.2,2019-11-08T16:05:18Z
2.3.1,2019-10-29T20:44:40Z
2.3.0,2019-10-25T22:33:38Z
2.2.2,2019-09-26T19:48:52Z
2.2.1,2019-08-28T18:18:28Z
2.2.0,2019-08-23T06:06:54Z
2.2.0-rc3,2019-08-20T23:29:37Z
2.2.0-rc2,2019-08-18T15:05:10Z
2.1.1,2019-08-18T01:37:00Z
2.2.0-rc1,2019-08-16T04:22:08Z
2.1.0,2019-07-13T21:41:40Z
2.0.9,2019-07-02T18:37:10Z
2.1.0-rc2,2019-06-29T22:09:33Z
2.1.0-rc1,2019-06-28T18:35:19Z
2.0.8,2019-06-05T13:16:49Z
2.0.7,2019-06-02T13:25:20Z
2.0.6,2019-05-29T23:26:51Z
2.0.5,2019-05-29T19:46:29Z
2.0.4,2019-05-22T19:46:35Z
2.0.3,2019-04-29T21:13:44Z
2.0.2,2019-04-29T08:58:05Z
1.8.4,2019-03-31T08:09:37Z
2.0.1,2019-03-24T06:47:59Z
2.0.0,2019-03-21T19:33:31Z
1.8.3,2019-02-24T05:34:56Z
1.8.2,2019-02-08T04:15:53Z
1.8.1,2019-01-26T00:20:00Z
1.8.0,2018-12-23T06:16:01Z
1.7.3,2018-11-11T23:09:23Z
1.7.2,2018-10-20T23:14:02Z
1.7.1,2018-10-19T22:33:38Z
1.7.0,2018-10-16T05:49:37Z
1.6.3,2018-09-17T17:45:58Z
1.6.2,2018-08-20T16:48:59Z
1.6.1,2018-08-09T23:34:21Z
1.6.0,2018-07-07T08:33:24Z
1.5.4,2018-05-18T23:33:41Z
1.5.3,2018-05-02T18:11:26Z
1.5.2,2018-04-30T17:33:26Z
1.5.1,2018-04-16T20:48:08Z
1.5.0,2018-03-30T07:57:27Z
1.4.2,2018-03-12T06:23:30Z
1.4.1,2018-02-25T23:51:46Z
1.4.0,2018-02-21T19:29:07Z
1.3.0,2018-01-27T23:01:17Z
1.2.6,2018-01-12T04:45:04Z
1.2.5,2018-01-08T22:11:23Z
1.2.4,2017-12-23T07:07:14Z
